"","values","value2"
"1",0.016,0.028
"2",0.018,0.03
"3",0.033,0.043
"4",0.011,0.021
"5",NA,NA
"6",NA,NA
"7",0.0465,0.0465
"8",0.034,0.034
"9",0.06,0.06
"10",NA,NA
"11",0.029,0.029
"12",0.03,0.03
"13",0.02,0.02
"14",0.032,0.032
"15",0.014,0.014
"16",0.0221,0.0221
"17",0.01975,0.01975
"18",0.0201,0.0201
"19",0.0137,0.0137
"20",0.0226,0.0226
"21",0.0139,0.0139
"22",0.0372,0.0372
"23",0.009,0.009
"24",0.0345,0.0345
"25",0.0176,0.0176
"26",0.0385,0.0385
"27",0.0182,0.0182
"28",0.043,0.043
"29",0.0151,0.0151
"30",0.036,0.036
"31",0.0486,0.0486
"32",0.0331,0.0331
"33",0.0188,0.0188
"34",0.0259,0.0259
"35",0.02245,0.02245
"36",0.0142,0.0142
"37",0.082,0.082
"38",0.0244,0.0244
"39",0.0667,0.0667
"40",0.0156,0.0156
"41",0.0524,0.0524
"42",0.0186,0.0186
"43",0.03565,0.03565
"44",0.0205,0.0205
"45",0.02235,0.02235
"46",0.0214,0.0214
"47",0.133,0.133
"48",0.0428,0.0428
"49",0.1116,0.1116
"50",0.0227,0.0227
"51",0.0303,0.0303
"52",0.0256,0.0256
"53",0.0273,0.0273
"54",0.0206,0.0206
"55",0.02595,0.02595
"56",0.027,0.027
"57",0.00795,0.00795
"58",0.028,0.028
"59",0.0211,0.0211
"60",0.0291,0.0291
"61",0.00935,0.00935
"62",0.0543,0.0543
"63",0.0061,0.0061
"64",0.051,0.051
"65",0.0138,0.0138
"66",0.0371,0.0371
"67",0.01755,0.01755
"68",0.0445,0.0445
"69",0.02735,0.02735
"70",0.0324,0.0324
"71",0.0285,0.0285
"72",0.03,0.03
"73",0.0875,0.0875
"74",0.028,0.028
"75",0.0195,0.0195
"76",0.019,0.019
"77",0.0295,0.0295
"78",0.029,0.029
"79",0.0235,0.0235
"80",0.025,0.025
"81",0.11,0.11
"82",0.024,0.024
"83",0.0385,0.0385
