"","values","value2"
"1",1.067,1.067
"2",1.259,1.259
"3",0.779,0.779
"4",0.416,0.807
"5",0.978,0.978
"6",1.415,1.415
"7",0.879,0.879
"8",1.092,1.092
"9",1.205,1.205
"10",1.419,1.419
"11",1.1045,1.1045
"12",0.532,0.998
"13",0.722,0.722
"14",0.28,0.769
"15",0.7223,0.7223
"16",0.768,0.768
"17",0.725,0.725
"18",0.738,0.738
"19",0.7311,0.7311
"20",0.749,0.749
"21",0.6622,0.6622
"22",0.713,0.713
"23",0.765,0.765
"24",0.61,0.61
"25",0.82,0.82
"26",0.718,0.718
"27",0.73305,0.73305
"28",0.891,0.891
"29",0.7097,0.7097
"30",0.656,0.656
"31",0.882,0.882
"32",0.782,0.782
"33",0.7245,0.7245
"34",0.819,0.819
"35",0.6905,0.6905
"36",0.605,0.605
"37",0.946,0.946
"38",0.969,0.969
"39",0.934,0.934
"40",1.2472,1.2472
"41",1.0345,1.0345
"42",1.177,1.177
"43",1.141,1.141
"44",1.388,1.388
"45",1.258,1.258
"46",1.327,1.327
"47",1.54,1.54
"48",1.501,1.501
"49",1.474,1.474
"50",1.426,1.426
"51",0.9315,0.9315
"52",1.445,1.445
"53",1.2675,1.2675
"54",1.173,1.173
"55",0.706,0.706
"56",0.771,0.771
"57",0.765925,0.765925
"58",0.928,0.928
"59",0.879,0.879
"60",0.7875,0.7875
"61",0.745125,0.745125
"62",1.15605,1.15605
"63",0.67935,0.67935
"64",0.8892,0.8892
"65",0.73635,0.73635
"66",0.82545,0.82545
"67",0.723275,0.723275
"68",0.78685,0.78685
"69",0.70125,0.70125
"70",0.7295,0.7295
"71",0.5652,0.5652
"72",0.4432,0.4432
"73",0.7664,0.7664
"74",0.58,0.58
"75",0.662,0.662
"76",0.869,0.869
"77",0.636,0.636
"78",1.08,1.08
"79",0.554,0.554
"80",1.08,1.08
"81",1.0665,1.0665
"82",1.074,1.074
"83",1.0315,1.0315
"84",1.53,1.53
"85",1.0095,1.0095
"86",1.4,1.4
"87",1.275,1.275
"88",1.571,1.571
"89",0.967,0.967
"90",1.39,1.39
"91",0.788,0.788
"92",1.01,1.01
"93",0.65285,0.65285
"94",0.89,0.89
"95",0.8095,0.8095
"96",0.714,0.714
"97",0.9272,0.9272
"98",0.882,0.882
"99",0.6338,0.6338
"100",0.5081,0.5081
"101",0.65895,0.65895
"102",0.4817,0.4817
"103",0.9318,0.9318
"104",0.8533,0.8533
"105",0.7683,0.7683
"106",0.6118,0.6118
"107",0.57235,0.57235
"108",0.538,0.538
"109",0.7132,0.7132
"110",0.855,0.855
"111",0.7585,0.7585
"112",0.881,0.881
"113",0.5654,0.5654
"114",1.089,1.089
"115",0.67,0.67
"116",0.839,0.839
"117",0.6419,0.6419
"118",0.9956,0.9956
"119",NA,NA
"120",NA,NA
"121",1.2525,1.2525
"122",1.18,1.18
"123",1.232,1.232
"124",1.631,1.631
"125",1.169,1.169
"126",1.383,1.383
"127",0.9075,0.9075
"128",1.2473,1.2473
"129",1.002,1.002
"130",1.284,1.284
"131",1.0655,1.0655
"132",1.278,1.278
"133",0.7579,0.7579
"134",1.208,1.208
"135",0.721,0.721
"136",1.185,1.185
"137",0.69195,0.69195
"138",0.74,0.74
"139",0.7437,0.7437
"140",0.787,0.787
"141",0.7695,0.7695
"142",1.115,1.115
"143",0.727,0.727
"144",1.219,1.219
"145",0.65805,0.65805
"146",1.018,1.018
"147",0.67575,0.67575
"148",0.868,0.868
"149",0.5934,0.5934
"150",0.689,0.689
"151",0.6232,0.6232
"152",0.722,0.722
"153",0.6755,0.6755
"154",0.697,0.697
"155",0.7275,0.7275
"156",0.7574,0.7574
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",1.0755,1.0755
"168",1.333,1.333
"169",NA,NA
"170",NA,NA
"171",0.8555,0.8555
"172",1.624,1.624
"173",0.9471,0.9471
"174",1.159,1.159
"175",0.89355,0.89355
"176",1.351,1.351
"177",0.8565,0.8565
"178",1.251,1.251
"179",NA,NA
"180",NA,NA
"181",0.76645,0.76645
"182",1.071,1.071
"183",NA,NA
"184",NA,NA
"185",0.7922,0.7922
"186",1.003,1.003
"187",NA,NA
"188",NA,NA
"189",0.709,0.709
"190",0.793,0.793
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",1.06,1.06
"204",1.49,1.49
"205",1.2075,1.2075
"206",1.537,1.537
"207",1,1
"208",1.31,1.31
"209",0.74205,0.74205
"210",1.004,1.004
"211",NA,NA
"212",1.0735,1.0735
"213",0.71675,0.71675
"214",1.002,1.002
"215",NA,NA
"216",NA,NA
"217",0.7105,0.7105
"218",1.001,1.001
"219",NA,NA
"220",NA,NA
"221",0.67045,0.67045
"222",1.036,1.036
"223",NA,NA
"224",NA,NA
"225",0.7155,0.7155
"226",0.794,0.794
"227",NA,NA
"228",NA,NA
"229",0.658,0.658
"230",0.816,0.816
"231",NA,NA
"232",NA,NA
"233",NA,NA
"234",NA,NA
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",NA,NA
"240",NA,NA
"241",NA,NA
"242",NA,NA
"243",1.018,1.018
"244",1.306,1.306
"245",NA,NA
"246",NA,NA
"247",1.2535,1.2535
"248",1.489,1.489
"249",NA,NA
"250",NA,NA
"251",0.6727,0.6727
"252",0.838,0.838
"253",0.9086,0.9086
"254",0.813,0.813
"255",0.68615,0.68615
"256",0.672,0.672
"257",0.843,0.843
"258",0.72,0.72
"259",0.753,0.753
"260",0.816,0.816
"261",0.789,0.789
"262",0.617,0.617
"263",0.678,0.678
"264",1.244,1.244
"265",0.6845,0.6845
"266",0.642,0.642
"267",0.5298,0.5298
"268",0.747,0.747
"269",0.68,0.68
"270",0.875,0.875
"271",0.6175,0.6175
"272",0.55,0.55
"273",0.5945,0.5945
"274",0.5665,0.5665
"275",0.63955,0.63955
"276",0.805,0.805
"277",0.5625,0.5625
"278",1.103,1.103
"279",0.768,0.768
"280",0.84,0.84
"281",0.689,0.689
"282",1.092,1.092
"283",0.697,0.697
"284",1.475,1.475
"285",1.1295,1.1295
"286",1.248,1.248
"287",0.9935,0.9935
"288",1.451,1.451
"289",1.0885,1.0885
"290",2.28,2.28
"291",0.761,0.761
"292",0.732,0.732
"293",0.74645,0.74645
"294",0.974,0.974
"295",0.80985,0.80985
"296",0.883,0.883
"297",0.84025,0.84025
"298",0.713,0.713
"299",0.8905,0.8905
"300",0.669,0.669
"301",0.7188,0.7188
"302",0.854,0.854
"303",0.60655,0.60655
"304",0.621,0.621
"305",0.54805,0.54805
"306",0.857,0.857
"307",0.58055,0.58055
"308",0.605,0.605
"309",0.7035,0.7035
"310",0.814,0.814
"311",0.6043,0.6043
"312",0.664,0.664
"313",0.6715,0.6715
"314",1.166,1.166
"315",0.588,0.588
"316",0.907,0.907
"317",NA,NA
"318",1.214,1.214
"319",0.839,0.839
"320",0.9406,0.9406
"321",0.959,0.959
"322",1.122,1.122
"323",1.0145,1.0145
"324",2.363,2.363
"325",0.931,0.931
"326",1.448,1.448
"327",1.238,1.238
"328",1.429,1.429
"329",1.076,1.076
"330",1.531,1.531
"331",1.0015,1.0015
"332",1.137,1.137
"333",0.891,0.891
"334",0.926,0.926
"335",0.805,0.805
"336",0.884,0.884
"337",1.0175,1.0175
"338",0.707,0.707
"339",0.85,0.85
"340",0.618,0.618
"341",0.82295,0.82295
"342",0.764,0.764
"343",0.776,0.776
"344",0.707,0.707
"345",0.9075,0.9075
"346",0.748,0.748
"347",0.979,0.979
"348",0.698,0.698
"349",0.8285,0.8285
"350",0.561,0.561
"351",0.6247,0.6247
"352",0.698,0.698
"353",0.793,0.793
"354",0.906,0.906
"355",0.6205,0.6205
"356",1.254,1.254
"357",0.625,0.625
"358",1.251,1.251
"359",1.88,1.88
"360",1.724,1.724
"361",1.6255,1.6255
"362",1.958,1.958
"363",1.726,1.726
"364",1.9,1.9
"365",1.5895,1.5895
"366",1.3645,1.3645
"367",1.463,1.463
"368",1.359,1.359
"369",1.3555,1.3555
"370",1.022,1.022
"371",1.0575,1.0575
"372",1.054,1.054
"373",0.9235,0.9235
"374",0.971,0.971
"375",1.058,1.058
"376",0.708,0.708
"377",0.9465,0.9465
"378",1.006,1.006
"379",1.0805,1.0805
"380",0.786,0.786
"381",0.789,0.789
"382",0.895,0.895
