"station","date","layer","secchi","salinity","do","wtemp","tss","chla_lo","chla_hi","tn_lo","tn_hi","tp_lo","tp_hi","din_lo","din_hi","po4_lo","po4_hi","tdn_lo","tdn_hi","tdp_lo","tdp_hi","nh4_lo","nh4_hi","no23_lo","no23_hi"
"CB3.3C","1985-05-21","AP",NA,10.5,6.2,18.1,6.9,7,7,0.651,0.651,0.0512,0.0512,0.28,0.28,0.003,0.003,0.52,0.52,0.036,0.036,0.104,0.104,0.176,0.176
"CB3.3C","1985-05-21","B",NA,14.4,0,15.3,7.6,3,3,0.7273,0.7273,0.031,0.031,0.372,0.372,0.0063,0.0063,0.64,0.64,0.017,0.017,0.255,0.255,0.117,0.117
"CB3.3C","1985-05-21","BP",NA,14.4,0,15.3,7.8,2,2,0.726,0.726,0.0252,0.0252,0.375,0.375,0.0042,0.0042,0.62,0.62,0.008,0.008,0.263,0.263,0.112,0.112
"CB3.3C","1985-05-21","S",1.1,10.105,7.6,18.8,7,9.5,9.5,0.768,0.768,0.0476,0.0476,0.259,0.259,0.00575,0.00575,0.54,0.54,0.0255,0.0255,0.0665,0.0665,0.1925,0.1925
"CB3.3C","1985-06-04","AP",NA,9.6,6,21.4,5,3.37,3.37,0.623,0.623,0.0231,0.0281,0.275,0.275,0.0033,0.0033,0.47,0.47,0,0.005,0.096,0.096,0.179,0.179
"CB3.3C","1985-06-04","B",NA,14.6,0,17.7,10.4,1.775,1.775,0.7275,0.7275,0.02375,0.02625,0.37,0.37,0.00895,0.00895,0.61,0.61,0.004,0.0065,0.286,0.286,0.084,0.084
"CB3.3C","1985-06-04","BP",NA,14.6,0,17.7,6.6,1.5,1.5,0.7103,0.7103,0.045,0.045,0.361,0.361,0.009,0.009,0.62,0.62,0.032,0.032,0.279,0.279,0.082,0.082
"CB3.3C","1985-06-04","S",1.5,9.5,6.7,21.5,5.8,2.99,2.99,0.738,0.738,0.0841,0.0841,0.271,0.271,0.0048,0.0048,0.5,0.5,0.064,0.064,0.077,0.077,0.194,0.194
"CB3.3C","1985-06-18","AP",NA,11.1,6.9,21.7,17.5,9.82,9.82,0.66,0.66,0.0551,0.0551,0.183,0.183,0.0035,0.0035,0.45,0.45,0.037,0.037,0.038,0.038,0.145,0.145
"CB3.3C","1985-06-18","B",NA,16.6,0.6,19.6,31.2,1.6,1.6,0.7351,0.7351,0.0277,0.0277,0.3659,0.3659,0.014,0.014,0.65,0.65,0.014,0.014,0.317,0.317,0.0489,0.0489
"CB3.3C","1985-06-18","BP",NA,15.2,1.6,19.9,21.3,2.81,2.81,0.73,0.73,0.0353,0.0353,0.352,0.352,0.0081,0.0081,0.61,0.61,0.016,0.016,0.273,0.273,0.079,0.079
"CB3.3C","1985-06-18","S",1.3,10.9,6.9,22,29.1,15.04,15.04,0.748,0.748,0.0486,0.0486,0.199,0.199,0.0057,0.0057,0.48,0.48,0.026,0.026,0.045,0.045,0.154,0.154
