"","values","value2"
"1",9,9
"2",13.2,13.2
"3",NA,NA
"4",15,15
"5",NA,NA
"6",NA,NA
"7",9.6,9.6
"8",13.6,13.6
"9",7.2,7.2
"10",11.4,11.4
"11",1.1,1.1
"12",14.8,14.8
"13",2.7,2.7
"14",12.3,12.3
"15",0,0
"16",7.6,7.6
"17",NA,NA
"18",6.7,6.7
"19",0.6,0.6
"20",6.9,6.9
"21",NA,NA
"22",7.7,7.7
"23",NA,NA
"24",7,7
"25",NA,NA
"26",6.9,6.9
"27",0.9,0.9
"28",7.2,7.2
"29",0,0
"30",7.4,7.4
"31",0.6,0.6
"32",8.8,8.8
"33",1.4,1.4
"34",12.9,12.9
"35",NA,NA
"36",6.8,6.8
"37",6.7,6.7
"38",10.6,10.6
"39",7,7
"40",12.2,12.2
"41",NA,NA
"42",13.2,13.2
"43",NA,NA
"44",12.3,12.3
"45",9.8,9.8
"46",11.9,11.9
"47",8.5,8.5
"48",12.4,12.4
"49",6.8,6.8
"50",10.9,10.9
"51",3.5,3.5
"52",11.6,11.6
"53",1.3,1.3
"54",12.3,12.3
"55",0.4,0.4
"56",8.9,8.9
"57",0.4,0.4
"58",8.3,8.3
"59",0.4,0.4
"60",9,9
"61",0.1,0.1
"62",11,11
"63",0,0
"64",7.3,7.3
"65",0.1,0.1
"66",11.4,11.4
"67",0.4,0.4
"68",11,11
"69",2.2,2.2
"70",8.3,8.3
"71",0.9,0.9
"72",6.2,6.2
"73",NA,NA
"74",9.6,9.6
"75",4.1,4.1
"76",10.5,10.5
"77",7.6,7.6
"78",11.7,11.7
"79",8.3,8.3
"80",10,10
"81",10.5,10.5
"82",13.2,13.2
"83",8.8,8.8
"84",11.7,11.7
"85",8.9,8.9
"86",13.6,13.6
"87",5.9,5.9
"88",10.3,10.3
"89",4.5,4.5
"90",10,10
"91",2.4,2.4
"92",8.7,8.7
"93",0.3,0.3
"94",7.8,7.8
"95",0.1,0.1
"96",8.3,8.3
"97",0.3,0.3
"98",8.2,8.2
"99",0.2,0.2
"100",8.9,8.9
"101",0.1,0.1
"102",11,11
"103",0.1,0.1
"104",10.1,10.1
"105",0.1,0.1
"106",9.3,9.3
"107",1,1
"108",9.3,9.3
"109",0.1,0.1
"110",10.8,10.8
"111",3.5,3.5
"112",7.9,7.9
"113",7.3,7.3
"114",12.9,12.9
"115",9.1,9.1
"116",13.3,13.3
"117",8.5,8.5
"118",12.8,12.8
"119",9.7,9.7
"120",14.3,14.3
"121",9.7,9.7
"122",13.2,13.2
"123",8.2,8.2
"124",11.1,11.1
"125",4.7,4.7
"126",10.6,10.6
"127",6.7,6.7
"128",8.6,8.6
"129",4.2,4.2
"130",12.2,12.2
"131",2.7,2.7
"132",11.2,11.2
"133",0.2,0.2
"134",9.4,9.4
"135",0,0
"136",12.2,12.2
"137",0.1,0.1
"138",9.5,9.5
"139",0.1,0.1
"140",9,9
"141",0.1,0.1
"142",8.6,8.6
"143",0.1,0.1
"144",15.1,15.1
"145",0,0
"146",6.5,6.5
"147",0.1,0.1
"148",6.8,6.8
"149",0.2,0.2
"150",7.8,7.8
"151",0.1,0.1
"152",6.7,6.7
"153",5.8,5.8
"154",7.4,7.4
"155",7.2,7.2
"156",9.6,9.6
"157",7.4,7.4
"158",12,12
"159",8.9,8.9
"160",12.6,12.6
"161",8.7,8.7
"162",11.4,11.4
"163",9.4,9.4
"164",10.8,10.8
"165",8.1,8.1
"166",10.3,10.3
"167",6.7,6.7
"168",11.1,11.1
"169",6.2,6.2
"170",9.3,9.3
"171",4,4
"172",10.4,10.4
"173",1,1
"174",8.9,8.9
"175",0.3,0.3
"176",9,9
"177",0.1,0.1
"178",9.8,9.8
"179",0.4,0.4
"180",8.9,8.9
"181",0.2,0.2
"182",11,11
"183",0.6,0.6
