"","values","value2"
"1",0.083,0.083
"2",0.079,0.079
"3",0,0.04
"4",0,0.04
"5",0.069,0.069
"6",0.024,0.024
"7",0.075,0.075
"8",0.027,0.027
"9",0.077,0.077
"10",0.05,0.05
"11",0.178,0.178
"12",0.006,0.006
"13",0.097,0.097
"14",0.018,0.018
"15",0.255,0.255
"16",0.0665,0.0665
"17",0.286,0.286
"18",0.077,0.077
"19",0.317,0.317
"20",0.045,0.045
"21",0.332,0.332
"22",0,0.003
"23",0.369,0.369
"24",0.077,0.077
"25",0.352,0.352
"26",0.013,0.013
"27",0.3275,0.3275
"28",0.007,0.007
"29",0.3055,0.3055
"30",0.014,0.014
"31",0.234,0.234
"32",0.044,0.044
"33",0.259,0.259
"34",0.017,0.017
"35",0.218,0.218
"36",0.097,0.097
"37",0.168,0.168
"38",0.124,0.124
"39",0.1605,0.1605
"40",0.14,0.14
"41",0.0625,0.0625
"42",0.054,0.054
"43",0.051,0.051
"44",0.095,0.095
"45",0.069,0.069
"46",0.081,0.081
"47",0.15,0.15
"48",0.132,0.132
"49",0.1255,0.1255
"50",0.049,0.049
"51",0.194,0.194
"52",0.035,0.035
"53",0.138,0.138
"54",0.023,0.023
"55",0.094,0.094
"56",0.012,0.012
"57",0.265,0.265
"58",0.04,0.04
"59",0.363,0.363
"60",0.182,0.182
"61",0.2695,0.2695
"62",0.013,0.013
"63",0.3895,0.3895
"64",0.018,0.018
"65",0.3635,0.3635
"66",0.042,0.042
"67",0.231,0.231
"68",0.004,0.004
"69",0.0935,0.0935
"70",0.009,0.009
"71",0.2305,0.2305
"72",0.021,0.021
"73",0.221,0.221
"74",0.011,0.011
"75",0.23,0.23
"76",0.17,0.17
"77",0.133,0.133
"78",0.109,0.109
"79",0.072,0.072
"80",0.128,0.128
"81",0.038,0.038
"82",0.041,0.041
"83",0.059,0.059
"84",0.049,0.049
"85",0.066,0.066
"86",0.023,0.023
"87",0.1335,0.1335
"88",0.077,0.077
"89",0.1815,0.1815
"90",0.159,0.159
"91",0.0965,0.0965
"92",0.07,0.07
"93",0.1125,0.1125
"94",0.013,0.013
"95",0.345,0.345
"96",0.073,0.073
"97",0.367,0.367
"98",0.024,0.024
"99",0.494,0.494
"100",0.092,0.092
"101",0.394,0.394
"102",0.021,0.021
"103",0.3535,0.3535
"104",0.012,0.012
"105",0.3315,0.3315
"106",0.009,0.009
"107",0.2825,0.2825
"108",0.049,0.049
"109",0.3395,0.3395
"110",0.024,0.024
"111",0.214,0.214
"112",0.134,0.134
"113",0.1305,0.1305
"114",0.011,0.011
"115",0.136,0.136
"116",0.062,0.062
"117",0.121,0.121
"118",0.063,0.063
"119",0.0505,0.0505
"120",0.086,0.086
"121",0.097,0.097
"122",0.083,0.083
"123",0.078,0.078
"124",0.065,0.065
"125",0.239,0.239
"126",0.089,0.089
"127",0.0945,0.0945
"128",0.163,0.163
"129",0.1275,0.1275
"130",0.026,0.026
"131",0.152,0.152
"132",0.01,0.01
"133",0.176,0.176
"134",0.045,0.045
"135",0.263,0.263
"136",0,0.005
"137",0.397,0.397
"138",0.038,0.038
"139",0.37,0.37
"140",0.019,0.019
"141",0.38,0.38
"142",0.015,0.015
"143",0.318,0.318
"144",0.017,0.017
"145",0.367,0.367
"146",0.153,0.153
"147",0.251,0.251
"148",0.026,0.026
"149",0.079,0.079
"150",0.022,0.022
"151",0.0705,0.0705
"152",0.036,0.036
"153",0.081,0.081
"154",0.066,0.066
"155",0.141,0.141
"156",0.084,0.084
"157",0.1175,0.1175
"158",0.071,0.071
"159",0.051,0.051
"160",0.031,0.031
"161",0.0525,0.0525
"162",0.06,0.06
"163",0.07,0.07
"164",0.035,0.035
"165",0.0895,0.0895
"166",0.065,0.065
"167",0.1115,0.1115
"168",0.061,0.061
"169",0.087,0.087
"170",0.019,0.019
"171",0.1455,0.1455
"172",0.096,0.096
"173",0.2715,0.2715
"174",0.013,0.013
"175",0.396,0.396
"176",0.028,0.028
"177",0.4165,0.4165
"178",0.003,0.003
"179",0.504,0.504
"180",0.027,0.027
"181",0.4285,0.4285
"182",0.077,0.077
"183",0.397,0.397
"184",0.01,0.01
"185",0.438,0.438
"186",0.028,0.028
"187",0,0.003
"188",0,0.003
"189",0.0305,0.0305
"190",0.004,0.004
"191",0.074,0.074
"192",0.099,0.099
"193",0.199,0.199
"194",0.076,0.076
"195",0.0295,0.0295
"196",0.022,0.022
"197",0.0175,0.0175
"198",0,0.003
"199",0.154,0.154
"200",0.245,0.245
"201",0.1525,0.1525
"202",0.138,0.138
"203",0.1275,0.1275
"204",0.09,0.09
"205",0.301,0.301
"206",0.144,0.144
"207",0.2315,0.2315
"208",0.066,0.066
"209",0.209,0.209
"210",0.029,0.029
"211",0.2525,0.2525
"212",0.1,0.1
"213",0.3345,0.3345
"214",0.055,0.055
"215",0.3765,0.3765
"216",0.025,0.025
"217",0.4045,0.4045
"218",0.077,0.077
"219",0.468,0.468
"220",0.018,0.018
"221",0.2305,0.2305
"222",0,0.003
"223",0.326,0.326
"224",0,0.003
"225",0.3375,0.3375
"226",0,0.003
"227",0.173,0.173
"228",0,0.003
"229",0.1055,0.1055
"230",0.037,0.037
"231",0.072,0.072
"232",0.081,0.081
"233",0.171,0.171
"234",0.104,0.104
"235",0.1095,0.1095
"236",0.049,0.049
"237",0.0585,0.0585
"238",0.084,0.084
"239",0.0705,0.0705
"240",0.074,0.074
"241",0.057,0.057
"242",0.025,0.025
"243",0.1,0.1
"244",0.102,0.102
"245",0.1525,0.1525
"246",0,0.003
"247",0.131,0.131
"248",0.016,0.016
"249",0.1255,0.1255
"250",0,0.003
"251",0.2115,0.2115
"252",0.032,0.032
"253",0.303,0.303
"254",0.072,0.072
"255",0.321,0.321
"256",0.104,0.104
"257",0.357,0.357
"258",0.009,0.009
"259",0.3315,0.3315
"260",0,0.003
"261",0.342,0.342
"262",0.012,0.012
"263",0.158,0.158
"264",0.022,0.022
"265",0.071,0.071
"266",0.005,0.005
"267",0.0425,0.0425
"268",0,0.003
"269",0.0575,0.0575
"270",0.009,0.009
"271",0.0895,0.0895
"272",0.003,0.003
"273",0.0815,0.0815
"274",0.065,0.065
"275",0.128,0.128
"276",0.022,0.022
"277",0.031,0.031
"278",0.006,0.006
"279",0.0375,0.0375
"280",0.005,0.005
"281",0.098,0.098
"282",0.05,0.05
"283",0.1015,0.1015
"284",0.12,0.12
"285",0.0925,0.0925
"286",0.042,0.042
"287",0.15,0.15
"288",0.049,0.049
"289",0.1025,0.1025
"290",0,0.003
"291",0.1555,0.1555
"292",0.018,0.018
"293",0.279,0.279
"294",0.042,0.042
"295",0.358,0.358
"296",0.016,0.016
"297",0.3935,0.3935
"298",0.025,0.025
"299",0.2745,0.2745
"300",0.01,0.01
"301",0.3605,0.3605
"302",0.006,0.006
"303",0.1835,0.1835
"304",0.012,0.012
"305",0.083,0.083
"306",0.017,0.017
"307",0.0575,0.0575
"308",0.051,0.051
"309",0.042,0.042
"310",0.006,0.006
"311",0.116,0.116
"312",0.044,0.044
"313",0.1265,0.1265
"314",0,0.003
"315",0.0895,0.0895
"316",0.047,0.047
"317",0.0655,0.0655
"318",0.029,0.029
"319",0.0525,0.0525
"320",0.052,0.052
"321",0.0675,0.0675
"322",0.029,0.029
"323",0.063,0.063
"324",0.064,0.064
"325",0.124,0.124
"326",0.1,0.1
"327",0.255,0.255
"328",0.089,0.089
"329",0.2985,0.2985
"330",0.005,0.005
"331",0.309,0.309
"332",0,0.003
"333",0.389,0.389
"334",0.013,0.013
"335",0.3865,0.3865
"336",0.035,0.035
"337",0.515,0.515
"338",0.014,0.014
"339",0.396,0.396
"340",0.06,0.06
"341",0.3885,0.3885
"342",0,0.003
"343",0.333,0.333
"344",0,0.003
"345",0.291,0.291
"346",0.024,0.024
"347",0.062,0.062
"348",0,0.003
"349",0.016,0.016
"350",0.009,0.009
"351",0.1125,0.1125
"352",0,0.003
"353",0.135,0.135
"354",0,0.003
"355",0.0655,0.0655
"356",0.1,0.1
"357",0.09,0.09
"358",0.01,0.01
"359",0.0845,0.0845
"360",0.061,0.061
"361",0.114,0.114
"362",0.061,0.061
"363",0.201,0.201
"364",0.089,0.089
"365",0.409,0.409
"366",0.105,0.105
"367",0.417,0.417
"368",0.164,0.164
"369",0.212,0.212
"370",0.011,0.011
"371",0.319,0.319
"372",0.018,0.018
"373",0.356,0.356
"374",0.063,0.063
"375",0.4725,0.4725
"376",0.026,0.026
"377",0.4025,0.4025
"378",0.004,0.004
"379",0.5355,0.5355
"380",0.06,0.06
"381",0.3285,0.3285
"382",0.005,0.005
"383",0.1645,0.1645
"384",0,0.003
"385",0.2065,0.2065
"386",0.004,0.004
"387",0.1775,0.1775
"388",0.061,0.061
"389",0.1625,0.1625
"390",0.023,0.023
"391",0.1855,0.1855
"392",0,0.003
"393",0.0975,0.0975
"394",0.025,0.025
"395",0.0765,0.0765
"396",0,0.003
"397",0.046,0.046
"398",0.061,0.061
"399",0.022,0.022
"400",0,0.003
"401",0.02,0.02
"402",0,0.003
"403",0.146,0.146
"404",0.077,0.077
"405",0.138,0.138
"406",0.053,0.053
"407",0.1485,0.1485
"408",0,0.003
"409",0.1655,0.1655
"410",0,0.003
"411",0.3245,0.3245
"412",0.029,0.029
"413",0.3655,0.3655
"414",0,0.003
"415",0.396,0.396
"416",0.007,0.007
"417",0.349,0.349
"418",0.006,0.006
"419",0.3355,0.3355
"420",0,0.003
"421",0.052,0.052
"422",0.004,0.004
"423",0.09,0.09
"424",0.01,0.01
"425",0.11,0.11
"426",0.018,0.018
"427",0.064,0.064
"428",0,0.003
"429",0.167,0.167
"430",0.026,0.026
"431",0.1025,0.1025
"432",0.127,0.127
"433",0.091,0.091
"434",0.004,0.004
"435",0.085,0.085
"436",0.17,0.17
"437",0.0855,0.0855
"438",0.154,0.154
"439",0.077,0.077
"440",0.048,0.048
"441",0.16,0.16
"442",0.005,0.005
"443",0.4395,0.4395
"444",0.079,0.079
"445",0.3735,0.3735
"446",0.184,0.184
"447",0.3295,0.3295
"448",0.074,0.074
"449",0.3565,0.3565
"450",0.037,0.037
"451",0.4805,0.4805
"452",0.011,0.011
"453",0.551,0.551
"454",0.058,0.058
"455",0.4495,0.4495
"456",0.008,0.008
"457",0.419,0.419
"458",0.012,0.012
"459",0.369,0.369
"460",0.005,0.005
"461",0.019,0.019
"462",0.015,0.015
"463",0.1675,0.1675
"464",0.076,0.076
"465",0.1455,0.1455
"466",0.07,0.07
"467",0.359,0.359
"468",0.094,0.094
"469",0.271,0.271
"470",0.027,0.027
"471",0.288,0.288
"472",0.04,0.04
"473",0.158,0.158
"474",0.102,0.102
"475",0.247,0.247
"476",0.109,0.109
"477",0.3305,0.3305
"478",0.03,0.03
"479",0.321,0.321
"480",0,0
"481",0.301,0.301
"482",0.005,0.005
"483",0.458,0.458
"484",0.034,0.034
"485",0.426,0.426
"486",0.015,0.015
"487",0.379,0.379
"488",0.004,0.004
"489",0.29,0.29
"490",0.002,0.002
"491",0.0095,0.0095
"492",0.005,0.005
"493",0.0075,0.0075
"494",0.013,0.013
"495",0.1105,0.1105
"496",0.077,0.077
"497",0.103,0.103
"498",0.029,0.029
"499",NA,NA
"500",0.094,0.094
"501",0.153,0.153
"502",0.077,0.077
"503",0.2145,0.2145
"504",0.15,0.15
"505",0.1605,0.1605
"506",0.112,0.112
"507",0.261,0.261
"508",0.062,0.062
"509",0.2885,0.2885
"510",0.007,0.007
"511",0.3575,0.3575
"512",0.006,0.006
"513",0.3345,0.3345
"514",0.058,0.058
"515",0.4905,0.4905
"516",0.007,0.007
"517",0.4705,0.4705
"518",0.005,0.005
"519",0.4645,0.4645
"520",0.005,0.005
"521",0.4065,0.4065
"522",0.022,0.022
"523",0.38,0.38
"524",0.006,0.006
"525",0.0095,0.0095
"526",0.008,0.008
"527",0.0975,0.0975
"528",0.022,0.022
"529",0.1035,0.1035
"530",0.018,0.018
"531",0.0465,0.0465
"532",0.024,0.024
"533",0.0565,0.0565
"534",0.003,0.003
"535",0.047,0.047
"536",0.003,0.003
"537",0.1155,0.1155
"538",0.02,0.02
"539",0.1755,0.1755
"540",0.004,0.004
"541",0.114,0.114
"542",0.013,0.013
"543",0.214,0.214
"544",0.008,0.008
"545",0.3245,0.3245
"546",0.007,0.007
"547",0.1925,0.1925
"548",0.006,0.006
"549",0.108,0.108
"550",0.009,0.009
"551",0.0785,0.0785
"552",0.013,0.013
"553",0.047,0.047
"554",0.004,0.004
"555",0.1305,0.1305
"556",0.041,0.041
"557",0.178,0.178
"558",0.041,0.041
"559",0.0975,0.0975
"560",0,0
"561",0.046,0.046
"562",0.005,0.005
"563",0.034,0.034
"564",0.004,0.004
"565",0.052,0.052
"566",0.004,0.004
"567",0.1585,0.1585
"568",0.128,0.128
"569",0.175,0.175
"570",0.029,0.029
"571",0.246,0.246
"572",0.003,0.003
"573",0.2015,0.2015
"574",0.013,0.013
"575",0.3905,0.3905
"576",0.071,0.071
"577",0.2995,0.2995
"578",0.02,0.02
"579",0.381,0.381
"580",0.023,0.023
"581",0.4905,0.4905
"582",0.004,0.004
"583",0.2805,0.2805
"584",0.014,0.014
"585",0.087,0.087
"586",0.016,0.016
"587",0.0115,0.0115
"588",0.006,0.006
"589",0.088,0.088
"590",0.031,0.031
"591",0.0365,0.0365
"592",0.017,0.017
"593",0.0175,0.0175
"594",0.012,0.012
"595",0.033,0.033
"596",0.009,0.009
"597",0.0255,0.0255
"598",0.01,0.01
"599",0.106,0.106
"600",0.035,0.035
"601",0.161,0.161
"602",0.215,0.215
"603",0.18,0.18
"604",-0.01,-0.01
"605",0.2645,0.2645
"606",0.013,0.013
"607",0.38,0.38
"608",0.018,0.018
"609",0.3085,0.3085
"610",0.013,0.013
"611",0.211,0.211
"612",0.009,0.009
"613",0.352,0.352
"614",0.02,0.02
"615",0.0885,0.0885
"616",0.007,0.007
"617",0.1115,0.1115
"618",0.024,0.024
"619",0.055,0.055
"620",0.013,0.013
"621",0.0105,0.0105
"622",0.03,0.03
"623",0.0755,0.0755
"624",0.025,0.025
"625",0.0365,0.0365
"626",0.006,0.006
"627",0.031,0.031
"628",0.003,0.003
"629",0.0775,0.0775
"630",0.004,0.004
"631",0.0705,0.0705
"632",0.008,0.008
"633",0.065,0.065
"634",0.038,0.038
"635",0.149,0.149
"636",0.014,0.014
"637",0.263,0.263
"638",0.14,0.14
"639",0.2875,0.2875
"640",0.004,0.004
"641",0.326,0.326
"642",0.018,0.018
"643",0.1465,0.1465
"644",0.007,0.007
"645",0.0895,0.0895
"646",0.005,0.005
"647",0.124,0.124
"648",0.014,0.014
"649",0.012,0.012
"650",0.007,0.007
"651",0.075,0.075
"652",0.05,0.05
"653",0.0975,0.0975
"654",0.047,0.047
"655",0.043,0.043
"656",0.037,0.037
"657",0.091,0.091
"658",0.008,0.008
"659",0.046,0.046
"660",-0.002,-0.002
"661",0.054,0.054
"662",0.007,0.007
"663",0.2165,0.2165
"664",0.173,0.173
"665",0.2795,0.2795
"666",0.091,0.091
"667",0.328,0.328
"668",0.097,0.097
"669",0.409,0.409
"670",0.154,0.154
"671",0.4275,0.4275
"672",0.085,0.085
"673",0.4305,0.4305
"674",0.017,0.017
"675",0.5455,0.5455
"676",0.084,0.084
"677",0.597,0.597
"678",0.127,0.127
"679",0.5395,0.5395
"680",-0.011,-0.011
"681",0.4765,0.4765
"682",0.082,0.082
"683",0.3775,0.3775
"684",0.296,0.296
"685",0.003,0.003
"686",0.026,0.026
"687",0.2675,0.2675
"688",0.064,0.064
"689",0.1055,0.1055
"690",0.082,0.082
"691",0.1705,0.1705
"692",0.106,0.106
"693",0.1155,0.1155
"694",0.025,0.025
"695",0.136,0.136
"696",0.009,0.009
"697",0.2625,0.2625
"698",0.171,0.171
"699",0.372,0.372
"700",0.099,0.099
"701",0.4495,0.4495
"702",0.023,0.023
"703",0.287,0.287
"704",0.006,0.006
"705",0.318,0.318
"706",0.024,0.024
"707",0.447,0.447
"708",0.035,0.035
"709",0.4965,0.4965
"710",-0.005,-0.005
"711",0.523,0.523
"712",0.005,0.005
"713",0.422,0.422
"714",0.01,0.01
"715",0.5655,0.5655
"716",0.06,0.06
"717",0.004,0.004
"718",0.062,0.062
"719",0.01,0.01
"720",0.004,0.004
"721",0.1945,0.1945
"722",0.006,0.006
"723",0.1485,0.1485
"724",0.016,0.016
"725",0.0575,0.0575
"726",0.087,0.087
"727",0.0785,0.0785
"728",0.046,0.046
"729",0.0635,0.0635
"730",0.002,0.002
"731",0.1765,0.1765
"732",0.065,0.065
"733",0.356,0.356
"734",0.132,0.132
"735",0.3545,0.3545
"736",0.105,0.105
"737",0.287,0.287
"738",0.059,0.059
"739",0.3485,0.3485
"740",0.054,0.054
"741",0.3905,0.3905
"742",0.02,0.02
"743",0.409,0.409
"744",0.005,0.005
"745",0.382,0.382
"746",0.047,0.047
"747",0.391,0.391
"748",0.094,0.094
"749",0.3745,0.3745
"750",0.019,0.019
"751",0.1565,0.1565
