"","values","value2"
"1",0.028,0.028
"2",0.03,0.03
"3",0.043,0.043
"4",0.021,0.021
"5",NA,NA
"6",NA,NA
"7",0.063,0.063
"8",0.054,0.054
"9",0.068,0.068
"10",0.044,0.044
"11",0.048,0.048
"12",0.038,0.038
"13",0.048,0.048
"14",0.045,0.045
"15",0.031,0.031
"16",0.0476,0.0476
"17",0.02375,0.02625
"18",0.0841,0.0841
"19",0.0277,0.0277
"20",0.0486,0.0486
"21",0.0539,0.0539
"22",0.0562,0.0562
"23",0.056,0.056
"24",0.049,0.049
"25",0.0736,0.0736
"26",0.0805,0.0805
"27",0.0577,0.0577
"28",0.077,0.077
"29",0.1261,0.1261
"30",0.049,0.049
"31",0.0716,0.0716
"32",0.0871,0.0871
"33",0.0438,0.0438
"34",0.0369,0.0369
"35",0.03395,0.03395
"36",0.0202,0.0202
"37",0.103,0.103
"38",0.0484,0.0484
"39",0.1032,0.1032
"40",0.0366,0.0366
"41",0.0609,0.0609
"42",0.0296,0.0296
"43",0.05065,0.05065
"44",0.0305,0.0305
"45",0.03285,0.03285
"46",0.0294,0.0294
"47",0.143,0.143
"48",0.0588,0.0588
"49",0.1116,0.1166
"50",0.0297,0.0297
"51",0.0303,0.0353
"52",0.0356,0.0356
"53",0.0308,0.0333
"54",0.0206,0.0256
"55",0.02595,0.03095
"56",0.05,0.05
"57",0.02295,0.02295
"58",0.046,0.046
"59",0.0361,0.0361
"60",0.0401,0.0401
"61",0.08585,0.08585
"62",0.0743,0.0743
"63",0.1181,0.1181
"64",0.072,0.072
"65",0.1103,0.1103
"66",0.0571,0.0571
"67",0.04705,0.04705
"68",0.0615,0.0615
"69",0.04685,0.04685
"70",0.0474,0.0474
"71",0.0575,0.0575
"72",0.055,0.055
"73",0.121,0.121
"74",0.046,0.046
"75",0.053,0.053
"76",0.048,0.048
"77",0.05,0.05
"78",0.044,0.044
"79",0.0345,0.0345
"80",0.04,0.04
"81",0.121,0.121
"82",0.033,0.033
"83",0.0495,0.0495
"84",0.033,0.033
"85",0.059,0.059
"86",0.031,0.031
"87",0.0615,0.0615
"88",0.047,0.047
"89",0.0355,0.0355
"90",0.041,0.041
"91",0.0415,0.0415
"92",0.028,0.028
"93",0.0355,0.0355
"94",0.032,0.032
"95",0.037,0.037
"96",0.044,0.044
"97",0.065,0.065
"98",0.055,0.055
"99",0.095,0.095
"100",0.067,0.067
"101",0.1015,0.1015
"102",0.061,0.061
"103",0.1245,0.1245
"104",0.103,0.103
"105",0.1215,0.1215
"106",0.073,0.073
"107",0.0765,0.0765
"108",0.067,0.067
"109",0.092,0.092
"110",0.06,0.06
"111",0.05385,0.05385
"112",0.0408,0.0408
"113",0.0229,0.0229
"114",0.0236,0.0236
"115",0.0357,0.0357
"116",0.0193,0.0193
"117",0.0212,0.0212
"118",0.0106,0.0106
