,station,date,layer,secchi,chla,do,tn,tp,po4f,pp,tdp,no23f,nh4f,tdn,pn,tss
5109,CB3.3C,1985-01-23,B,,,,,,,,,,,,,
5110,CB3.3C,1985-01-23,S,,,,,,,,,,,,,
5111,CB3.3C,1985-02-13,B,,,,,,,,,,,,,
5112,CB3.3C,1985-02-13,S,,,,,,,,,,,,,
5113,CB3.3C,1985-03-05,B,,,,,,,,,,,,,
5114,CB3.3C,1985-03-05,S,,,,,,,,,,,,,
5115,CB3.3C,1985-03-20,B,,,,,,,,,,,,,
5116,CB3.3C,1985-03-20,S,,,,,,,,,,,,,
5117,CB3.3C,1985-04-09,B,,,,,,,,,,,,,
5118,CB3.3C,1985-04-09,S,,,,,,,,,,,,,
5119,CB3.3C,1985-04-23,B,,,,,,,,,,,,,
5120,CB3.3C,1985-04-23,S,,,,,,,,,,,,,
5121,CB3.3C,1985-05-07,B,,,,,,,,,,,,,
5122,CB3.3C,1985-05-07,S,,,,,,,,,,,,,
5123,CB3.3C,1985-05-21,B,,,,,,,,,,,,,
5124,CB3.3C,1985-05-21,S,,,,,,,,,,,,,
5125,CB3.3C,1985-06-04,B,,,,,,,,,,,,,
5126,CB3.3C,1985-06-04,S,,,,,,,,,,,,,
5127,CB3.3C,1985-06-18,B,,,,,,,,,,,,,
5128,CB3.3C,1985-06-18,S,,,,,,,,,,,,,
5129,CB3.3C,1985-07-09,B,,,,,,,,,,,,,
5130,CB3.3C,1985-07-09,S,,,,,,,,,,,,,
5131,CB3.3C,1985-07-24,B,,,,,,,,,,,,,
5132,CB3.3C,1985-07-24,S,,,,,,,,,,,,,
5133,CB3.3C,1985-08-07,B,,,,,,,,,,,,,
5134,CB3.3C,1985-08-07,S,,,,,,,,,,,,,
5135,CB3.3C,1985-08-20,B,,,,,,,,,,,,,
5136,CB3.3C,1985-08-20,S,,,,,,,,,,,,,
5137,CB3.3C,1985-09-10,B,,,,,,,,,,,,,
5138,CB3.3C,1985-09-10,S,,,,,,,,,,,,,
5139,CB3.3C,1985-09-24,B,,,,,,,,,,,,,
5140,CB3.3C,1985-09-24,S,,,,,,,,,,,,,
5141,CB3.3C,1985-10-08,B,,,,,,,,,,,,,
5142,CB3.3C,1985-10-08,S,,,,,,,,,,,,,
5143,CB3.3C,1985-10-22,B,,,,,,,,,,,,,
5144,CB3.3C,1985-10-22,S,,,,,,,,,,,,,
5145,CB3.3C,1985-11-13,B,,,,,,,,,,,,,
5146,CB3.3C,1985-11-13,S,,,,,,,,,,,,,
5147,CB3.3C,1985-12-10,B,,,,,,,,,,,,,
5148,CB3.3C,1985-12-10,S,,,,,,,,,,,,,
5149,CB3.3C,1986-01-07,B,,,,,,,,,,,,,
5150,CB3.3C,1986-01-07,S,,,,,,,,,,,,,
5151,CB3.3C,1986-02-13,B,,,,,,,,,,,,,
5152,CB3.3C,1986-02-13,S,,,,,,,,,,,,,
5153,CB3.3C,1986-03-11,B,,,,,,,,,,,,,
5154,CB3.3C,1986-03-11,S,,,,,,,,,,,,,
5155,CB3.3C,1986-03-25,B,,,,,,,,,,,,,
5156,CB3.3C,1986-03-25,S,,,,,,,,,,,,,
5157,CB3.3C,1986-04-08,B,,,,,,,,,,,,,
5158,CB3.3C,1986-04-08,S,,,,,,,,,,,,,
5159,CB3.3C,1986-04-22,B,,,,,,,,,,,,,
5160,CB3.3C,1986-04-22,S,,,,,,,,,,,,,
5161,CB3.3C,1986-05-13,B,,,,,,,,,,,,,
5162,CB3.3C,1986-05-13,S,,,,,,,,,,,,,
5163,CB3.3C,1986-05-27,B,,,,,,,,,,,,,
5164,CB3.3C,1986-05-27,S,,,,,,,,,,,,,
5165,CB3.3C,1986-06-10,B,,,,,,,,,,,,,
5166,CB3.3C,1986-06-10,S,,,,,,,,,,,,,
5167,CB3.3C,1986-06-24,B,,,,,,,,,,,,,
5168,CB3.3C,1986-06-24,S,,,,,,,,,,,,,
5169,CB3.3C,1986-07-29,B,,,,,,,,,,,,,
5170,CB3.3C,1986-07-29,S,,,,,,,,,,,,,
5171,CB3.3C,1986-08-12,B,,,,,,,,,,,,,
5172,CB3.3C,1986-08-12,S,,,,,,,,,,,,,
5173,CB3.3C,1986-08-26,B,,,,,,,,,,,,,
5174,CB3.3C,1986-08-26,S,,,,,,,,,,,,,
5175,CB3.3C,1986-09-09,B,,,,,,,,,,,,,
5176,CB3.3C,1986-09-09,S,,,,,,,,,,,,,
5177,CB3.3C,1986-09-23,B,,,,,,,,,,,,,
5178,CB3.3C,1986-09-23,S,,,,,,,,,,,,,
5179,CB3.3C,1986-10-07,B,,,,,,,,,,,,,
5180,CB3.3C,1986-10-07,S,,,,,,,,,,,,,
5181,CB3.3C,1986-10-28,B,,,,,,,,,,,,,
5182,CB3.3C,1986-10-28,S,,,,,,,,,,,,,
