"","values","value2"
"1",0.417,0.417
"2",0.546,0.546
"3",0.293,0.293
"4",0.416,0.416
"5",0.127,0.127
"6",0.95,0.95
"7",0.2375,0.2375
"8",0.619,0.619
"9",0.316,0.316
"10",0.757,0.757
"11",0.193,0.193
"12",0.532,0.532
"13",0.169,0.169
"14",0.28,0.28
"15",0.117,0.117
"16",0.1925,0.1925
"17",0.084,0.084
"18",0.194,0.194
"19",0.0489,0.0489
"20",0.154,0.154
"21",0.0014,0.0014
"22",0.0027,0.0027
"23",0.0066,0.0066
"24",0.0139,0.0139
"25",0.0336,0.0336
"26",0.0377,0.0377
"27",NA,NA
"28",0.083,0.083
"29",0.0099,0.0099
"30",0.079,0.079
"31",0.08475,0.08475
"32",0.0537,0.0537
"33",0.052,0.052
"34",0.073,0.073
"35",0.0625,0.0625
"36",0.098,0.098
"37",0.157,0.157
"38",0.275,0.275
"39",0.205,0.205
"40",0.77,0.77
"41",0.37,0.37
"42",0.63,0.63
"43",0.21,0.21
"44",0.87,0.87
"45",0.74,0.74
"46",0.71,0.71
"47",0.464,0.464
"48",1.03,1.03
"49",0.3985,0.3985
"50",0.98,0.98
"51",0.2445,0.2445
"52",1.03,1.03
"53",0.295,0.295
"54",0.53,0.53
"55",0.155,0.155
"56",0.259,0.259
"57",0.1015,0.1015
"58",0.207,0.207
"59",0.0485,0.0485
"60",0.149,0.149
"61",0.0051,0.0051
"62",0.0011,0.0011
"63",0.0052,0.0052
"64",0.0034,0.0034
"65",0.00325,0.00325
"66",0.0449,0.0449
"67",0.0631,0.0631
"68",0.0127,0.0127
"69",0.186,0.186
"70",0.084,0.084
"71",0.0752,0.0752
"72",0.0932,0.0932
"73",0.0514,0.0514
"74",0.16,0.16
"75",0.087,0.087
"76",0.249,0.249
"77",0.126,0.126
"78",0.58,0.58
"79",0.189,0.189
"80",0.64,0.64
"81",0.2165,0.2165
"82",0.624,0.624
"83",0.2365,0.2365
"84",1.02,1.02
"85",0.1645,0.1645
"86",0.78,0.78
"87",0.245,0.245
"88",1.011,1.011
"89",0.232,0.232
"90",0.92,0.92
"91",0.108,0.108
"92",0.54,0.54
"93",0.00785,0.00785
"94",0.29,0.29
"95",0.0645,0.0645
"96",0.184,0.184
"97",0.0072,0.0072
"98",0.132,0.132
"99",0.00665,0.00665
"100",0.0181,0.0181
"101",0.00395,0.00395
"102",0.0017,0.0017
"103",0.0118,0.0118
"104",0.0033,0.0033
"105",0.0033,0.0033
"106",0.0018,0.0018
"107",0.00235,0.00235
"108",0.068,0.068
"109",0.0382,0.0382
"110",0.235,0.235
"111",0.1195,0.1195
"112",0.207,0.207
"113",0.0505,0.0505
"114",0.469,0.469
"115",0.079,0.079
"116",0.353,0.353
