"","values","value2"
"1",NA,NA
"2",NA,NA
"3",NA,NA
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",NA,NA
"10",NA,NA
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",0.0873,0.0873
"16",0.228,0.228
"17",0.1175,0.1175
"18",0.238,0.238
"19",0.0851,0.0851
"20",0.268,0.268
"21",0.0772,0.0772
"22",0.414,0.414
"23",0.055,0.055
"24",0.201,0.201
"25",0.1,0.1
"26",0.377,0.377
"27",0.10405,0.10405
"28",0.394,0.394
"29",0.0987,0.0987
"30",0.269,0.269
"31",0.2645,0.2645
"32",0.323,0.323
"33",0.1205,0.1205
"34",0.392,0.392
"35",0.1475,0.1475
"36",0.131,0.131
"37",0.385,0.385
"38",0.268,0.268
"39",0.284,0.284
"40",0.0972,0.0972
"41",0.2945,0.2945
"42",0.127,0.127
"43",0.366,0.366
"44",0.118,0.118
"45",0.193,0.193
"46",0.187,0.187
"47",0.68,0.68
"48",0.151,0.151
"49",0.664,0.664
"50",0.196,0.196
"51",0.2415,0.2415
"52",0.275,0.275
"53",0.4325,0.4325
"54",0.333,0.333
"55",0.251,0.251
"56",0.261,0.261
"57",0.05535,0.05535
"58",0.279,0.279
"59",0.1295,0.1295
"60",0.306,0.306
"61",0.06515,0.06515
"62",0.601,0.601
"63",0.0585,0.0585
"64",0.545,0.545
"65",0.07445,0.07445
"66",0.336,0.336
"67",0.08845,0.08845
"68",0.461,0.461
"69",0.1465,0.1465
"70",0.345,0.345
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",0.1085,0.1085
"112",0.141,0.141
"113",0.1004,0.1004
"114",0.309,0.309
"115",0.13,0.13
"116",0.149,0.149
"117",0.0669,0.0669
"118",0.0756,0.0756
"119",NA,NA
"120",NA,NA
"121",0.4875,0.4875
"122",0.23,0.23
"123",0.792,0.792
"124",0.251,0.251
"125",0.254,0.254
"126",0.133,0.133
"127",0.2975,0.2975
"128",0.0973,0.0973
"129",0.277,0.277
"130",0.254,0.254
"131",0.3155,0.3155
"132",0.378,0.378
"133",0.0979,0.0979
"134",0.168,0.168
"135",0.136,0.136
"136",0.635,0.635
"137",0.08695,0.08695
"138",0.35,0.35
"139",0.0837,0.0837
"140",0.367,0.367
"141",0.1095,0.1095
"142",0.685,0.685
"143",0.107,0.107
"144",0.809,0.809
"145",0.08805,0.08805
"146",0.388,0.388
"147",0.09575,0.09575
"148",0.208,0.208
"149",0.0784,0.0784
"150",0.199,0.199
"151",0.0832,0.0832
"152",0.112,0.112
"153",0.1205,0.1205
"154",0.167,0.167
"155",0.1675,0.1675
"156",0.0874,0.0874
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",0.2905,0.2905
"168",0.123,0.123
"169",NA,NA
"170",NA,NA
"171",0.1305,0.1305
"172",0.164,0.164
"173",0.0521,0.0521
"174",0.289,0.289
"175",0.04855,0.04855
"176",0.171,0.171
"177",0.0915,0.0915
"178",0.271,0.271
"179",NA,NA
"180",NA,NA
"181",0.09645,0.09645
"182",0.251,0.251
"183",NA,NA
"184",NA,NA
"185",0.0972,0.0972
"186",0.403,0.403
"187",NA,NA
"188",NA,NA
"189",0.159,0.159
"190",0.183,0.183
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",0.48,0.48
"204",0.17,0.17
"205",0.4175,0.4175
"206",0.187,0.187
"207",0.29,0.29
"208",0.2,0.2
"209",0.10205,0.10205
"210",0.164,0.164
"211",NA,NA
"212",0.0935,0.0935
"213",0.07175,0.07175
"214",0.162,0.162
"215",NA,NA
"216",NA,NA
"217",0.1055,0.1055
"218",0.461,0.461
"219",NA,NA
"220",NA,NA
"221",0.08545,0.08545
"222",0.656,0.656
"223",NA,NA
"224",NA,NA
"225",0.1055,0.1055
"226",0.434,0.434
"227",NA,NA
"228",NA,NA
"229",0.163,0.163
"230",0.166,0.166
"231",NA,NA
"232",NA,NA
"233",NA,NA
"234",NA,NA
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",NA,NA
"240",NA,NA
"241",NA,NA
"242",NA,NA
"243",0.343,0.343
"244",0.186,0.186
"245",NA,NA
"246",NA,NA
"247",0.5085,0.5085
"248",0.399,0.399
"249",NA,NA
"250",NA,NA
"251",0.1027,0.1027
"252",0.208,0.208
"253",0.0986,0.0986
"254",0.133,0.133
"255",0.08115,0.08115
"256",0.192,0.192
"257",0.163,0.163
"258",0.4,0.4
"259",0.103,0.103
"260",0.436,0.436
"261",0.124,0.124
"262",0.307,0.307
"263",0.108,0.108
"264",0.704,0.704
"265",0.1495,0.1495
"266",0.282,0.282
"267",0.0998,0.0998
"268",0.407,0.407
"269",0.13,0.13
"270",0.305,0.305
"271",0.1475,0.1475
"272",0.16,0.16
"273",0.0945,0.0945
"274",0.0965,0.0965
"275",0.09455,0.09455
"276",0.175,0.175
"277",0.1425,0.1425
"278",0.293,0.293
"279",0.323,0.323
"280",0.18,0.18
"281",0.214,0.214
"282",0.232,0.232
"283",0.167,0.167
"284",0.155,0.155
"285",0.4195,0.4195
"286",0.178,0.178
"287",0.3135,0.3135
"288",0.221,0.221
"289",0.4985,0.4985
"290",1.28,1.28
"291",0.211,0.211
"292",0.132,0.132
"293",0.07145,0.07145
"294",0.274,0.274
"295",0.07985,0.07985
"296",0.273,0.273
"297",0.08025,0.08025
"298",0.303,0.303
"299",0.1655,0.1655
"300",0.329,0.329
"301",0.0938,0.0938
"302",0.364,0.364
"303",0.09155,0.09155
"304",0.281,0.281
"305",0.08305,0.08305
"306",0.307,0.307
"307",0.10055,0.10055
"308",0.105,0.105
"309",0.2235,0.2235
"310",0.174,0.174
"311",0.0843,0.0843
"312",0.154,0.154
"313",0.1565,0.1565
"314",0.536,0.536
"315",0.138,0.138
"316",0.127,0.127
"317",NA,NA
"318",0.224,0.224
"319",0.209,0.209
"320",0.0706,0.0706
"321",0.319,0.319
"322",0.202,0.202
"323",0.3095,0.3095
"324",0.133,0.133
"325",0.286,0.286
"326",0.118,0.118
"327",0.208,0.208
"328",0.109,0.109
"329",0.166,0.166
"330",0.351,0.351
"331",0.1565,0.1565
"332",0.167,0.167
"333",0.166,0.166
"334",0.246,0.246
"335",0.125,0.125
"336",0.284,0.284
"337",0.1725,0.1725
"338",0.237,0.237
"339",0.135,0.135
"340",0.238,0.238
"341",0.07295,0.07295
"342",0.424,0.424
"343",0.106,0.106
"344",0.357,0.357
"345",0.2325,0.2325
"346",0.318,0.318
"347",0.429,0.429
"348",0.298,0.298
"349",0.2835,0.2835
"350",0.151,0.151
"351",0.0947,0.0947
"352",0.168,0.168
"353",0.158,0.158
"354",0.306,0.306
"355",0.1805,0.1805
"356",0.114,0.114
"357",0.105,0.105
"358",0.261,0.261
"359",1.22,1.22
"360",0.354,0.354
"361",0.7555,0.7555
"362",0.418,0.418
"363",0.506,0.506
"364",0.24,0.24
"365",0.2445,0.2445
"366",0.0945,0.0945
"367",0.268,0.268
"368",0.119,0.119
"369",0.4005,0.4005
"370",0.182,0.182
"371",0.2125,0.2125
"372",0.374,0.374
"373",0.1385,0.1385
"374",0.391,0.391
"375",0.198,0.198
"376",0.268,0.268
"377",0.1665,0.1665
"378",0.616,0.616
"379",0.1505,0.1505
"380",0.246,0.246
"381",0.119,0.119
"382",0.285,0.285
"383",0.08035,0.08035
"384",0.449,0.449
"385",0.08335,0.08335
"386",0.314,0.314
"387",0.1185,0.1185
"388",0.14,0.14
"389",0.0946,0.0946
"390",0.232,0.232
"391",0.2175,0.2175
"392",0.206,0.206
"393",0.2535,0.2535
"394",0.24,0.24
"395",0.135,0.135
"396",0.214,0.214
"397",0.194,0.194
"398",0.133,0.133
"399",1.695,1.695
"400",0.17,0.17
"401",0.957,0.957
"402",0.2,0.2
"403",0.2655,0.2655
"404",0.291,0.291
"405",0.3515,0.3515
"406",0.179,0.179
"407",0.504,0.504
"408",0.298,0.298
"409",0.11,0.11
"410",0.677,0.677
"411",0.071,0.071
"412",0.296,0.296
"413",0.0908,0.0908
"414",0.392,0.392
"415",0.392,0.392
"416",0.409,0.409
"417",0.104,0.104
"418",0.366,0.366
"419",0.1315,0.1315
"420",1.46,1.46
"421",0.08845,0.08845
"422",0.417,0.417
"423",0.1005,0.1005
"424",0.279,0.279
"425",0.128,0.128
"426",0.193,0.193
"427",0.1395,0.1395
"428",0.25,0.25
"429",0.0607,0.0607
"430",0.13,0.13
"431",0.1135,0.1135
"432",0.136,0.136
"433",0.291,0.291
"434",0.177,0.177
"435",0.192,0.192
"436",0.212,0.212
"437",0.312,0.312
"438",0.147,0.147
"439",0.792,0.792
"440",0.158,0.158
"441",1.49,1.49
"442",0.404,0.404
"443",0.4055,0.4055
"444",0.278,0.278
"445",0.493,0.493
"446",0.121,0.121
"447",0.117,0.117
"448",0.169,0.169
"449",0.184,0.184
"450",0.187,0.187
"451",0.141,0.141
"452",0.425,0.425
"453",0.1145,0.1145
"454",0.317,0.317
"455",0.09315,0.09315
"456",0.476,0.476
"457",0.4445,0.4445
"458",0.336,0.336
"459",0.145,0.145
"460",0.614,0.614
"461",0.2135,0.2135
"462",0.296,0.296
"463",0.145,0.145
"464",0.109,0.109
"465",0.236,0.236
"466",0.149,0.149
"467",NA,NA
"468",NA,NA
"469",NA,NA
"470",NA,NA
"471",0.314,0.314
"472",0.174,0.174
"473",0.4615,0.4615
"474",0.257,0.257
"475",0.295,0.295
"476",0.0821,0.0821
"477",0.2545,0.2545
"478",0.165,0.165
"479",0.1655,0.1655
"480",0.31,0.31
"481",0.154,0.154
"482",0.5,0.5
"483",0.2215,0.2215
"484",0.365,0.365
"485",0.194,0.194
"486",0.361,0.361
"487",0.0882,0.0882
"488",0.351,0.351
"489",0.1155,0.1155
"490",0.373,0.373
"491",0.0788,0.0788
"492",0.203,0.203
"493",0.1065,0.1065
"494",0.204,0.204
"495",0.1295,0.1295
"496",0.123,0.123
"497",0.276,0.276
"498",0.148,0.148
"499",NA,NA
"500",NA,NA
"501",NA,NA
"502",NA,NA
"503",0.5695,0.5695
"504",0.155,0.155
"505",0.6965,0.6965
"506",0.073,0.073
"507",0.466,0.466
"508",0.158,0.158
"509",0.274,0.274
"510",0.263,0.263
"511",0.08135,0.08135
"512",0.21,0.21
"513",0.1215,0.1215
"514",0.175,0.175
"515",0.1545,0.1545
"516",0.556,0.556
"517",0.3835,0.3835
"518",0.265,0.265
"519",0.0768,0.0768
"520",0.332,0.332
"521",0.189,0.189
"522",0.408,0.408
"523",0.134,0.134
"524",0.913,0.913
"525",0.128,0.128
"526",0.16,0.16
"527",0.126,0.126
"528",0.164,0.164
"529",0.5635,0.5635
"530",0.196,0.196
"531",0.393,0.393
"532",0.154,0.154
"533",0.335,0.335
"534",0.431,0.431
"535",0.54,0.54
"536",0.334,0.334
"537",0.3035,0.3035
"538",0.229,0.229
"539",0.2275,0.2275
"540",0.242,0.242
"541",0.3635,0.3635
"542",0.262,0.262
"543",0.10435,0.10435
"544",0.325,0.325
"545",0.1145,0.1145
"546",0.316,0.316
"547",0.0983,0.0983
"548",0.373,0.373
"549",0.08065,0.08065
"550",0.262,0.262
"551",0.1025,0.1025
"552",0.383,0.383
"553",0.1155,0.1155
"554",0.255,0.255
"555",0.1305,0.1305
"556",0.19,0.19
"557",0.2125,0.2125
"558",0.222,0.222
"559",0.215,0.215
"560",0.212,0.212
"561",0.344,0.344
"562",0.278,0.278
"563",0.509,0.509
"564",0.201,0.201
"565",0.756,0.756
"566",0.283,0.283
"567",0.277,0.277
"568",0.245,0.245
"569",0.376,0.376
"570",0.374,0.374
"571",0.147,0.147
"572",0.737,0.737
"573",0.1865,0.1865
"574",0.337,0.337
"575",0.213,0.213
"576",0.414,0.414
"577",0.1385,0.1385
"578",0.366,0.366
"579",0.07225,0.07225
"580",0.266,0.266
"581",0.07965,0.07965
"582",0.735,0.735
"583",0.0786,0.0786
"584",0.434,0.434
"585",0.256,0.256
"586",0.526,0.526
"587",0.138,0.138
"588",0.283,0.283
"589",0.1175,0.1175
"590",0.178,0.178
"591",0.165,0.165
"592",0.19,0.19
"593",0.3535,0.3535
"594",0.195,0.195
"595",0.4745,0.4745
"596",0.159,0.159
"597",0.1405,0.1405
"598",0.157,0.157
"599",0.32,0.32
"600",0.273,0.273
"601",0.1815,0.1815
"602",0.116,0.116
"603",0.1835,0.1835
"604",0.121,0.121
"605",0.10065,0.10065
"606",0.369,0.369
"607",0.1095,0.1095
"608",0.573,0.573
"609",0.179,0.179
"610",0.413,0.413
"611",0.139,0.139
"612",0.428,0.428
"613",0.1265,0.1265
"614",0.631,0.631
"615",0.1795,0.1795
"616",0.454,0.454
"617",0.1085,0.1085
"618",0.273,0.273
"619",0.1675,0.1675
"620",0.18,0.18
"621",0.2235,0.2235
"622",0.151,0.151
"623",0.193,0.193
"624",0.128,0.128
"625",0.1225,0.1225
"626",0.146,0.146
"627",0.2205,0.2205
"628",0.16,0.16
"629",0.275,0.275
"630",0.205,0.205
"631",0.2285,0.2285
"632",0.205,0.205
"633",0.1495,0.1495
"634",0.13,0.13
"635",0.113,0.113
"636",0.228,0.228
"637",0.08235,0.08235
"638",0.0837,0.0837
"639",0.06385,0.06385
"640",0.317,0.317
"641",0.09845,0.09845
"642",0.306,0.306
"643",0.08405,0.08405
"644",0.39,0.39
"645",0.1515,0.1515
"646",0.237,0.237
"647",0.08705,0.08705
"648",0.256,0.256
"649",0.1105,0.1105
"650",0.417,0.417
"651",0.1075,0.1075
"652",0.0895,0.0895
"653",0.10055,0.10055
"654",0.117,0.117
"655",0.2425,0.2425
"656",0.117,0.117
"657",0.2405,0.2405
"658",0.186,0.186
"659",0.365,0.365
"660",0.301,0.301
"661",1.535,1.535
"662",0.151,0.151
"663",0.384,0.384
"664",0.172,0.172
"665",0.3835,0.3835
"666",0.273,0.273
"667",0.1725,0.1725
"668",0.181,0.181
"669",0.1855,0.1855
"670",0.219,0.219
"671",0.124,0.124
"672",0.225,0.225
"673",0.199,0.199
"674",0.426,0.426
"675",0.18,0.18
"676",0.354,0.354
"677",0.1225,0.1225
"678",0.603,0.603
"679",0.0906,0.0906
"680",0.444,0.444
"681",0.0964,0.0964
"682",0.228,0.228
"683",0.114,0.114
"684",0.139,0.139
"685",0.1915,0.1915
"686",0.146,0.146
"687",0.1595,0.1595
"688",0.102,0.102
"689",0.6555,0.6555
"690",0.122,0.122
"691",0.262,0.262
"692",0.105,0.105
"693",0.8175,0.8175
"694",0.276,0.276
"695",0.7685,0.7685
"696",0.34,0.34
"697",0.6585,0.6585
"698",0.236,0.236
"699",0.291,0.291
"700",0.143,0.143
"701",0.281,0.281
"702",0.243,0.243
"703",0.1325,0.1325
"704",0.22,0.22
"705",0.137,0.137
"706",0.321,0.321
"707",0.0885,0.0885
"708",0.212,0.212
"709",0.173,0.173
"710",0.311,0.311
"711",0.2,0.2
"712",0.249,0.249
"713",0.124,0.124
"714",1.23,1.23
"715",0.1285,0.1285
"716",0.452,0.452
"717",0.1085,0.1085
"718",0.135,0.135
"719",0.157,0.157
"720",0.144,0.144
"721",0.1095,0.1095
"722",0.325,0.325
"723",0.1755,0.1755
"724",0.137,0.137
"725",0.4215,0.4215
"726",0.0551,0.0551
"727",0.766,0.766
"728",0.229,0.229
"729",0.985,0.985
"730",0.287,0.287
"731",0.896,0.896
"732",0.205,0.205
"733",0.301,0.301
"734",0.151,0.151
"735",0.4,0.4
"736",0.193,0.193
"737",0.1445,0.1445
"738",0.196,0.196
"739",0.09585,0.09585
"740",0.26,0.26
"741",0.1265,0.1265
"742",0.323,0.323
"743",0.16,0.16
"744",0.337,0.337
"745",0.197,0.197
"746",0.25,0.25
"747",0.06455,0.06455
"748",0.325,0.325
"749",0.0905,0.0905
"750",0.254,0.254
"751",0.141,0.141
"752",0.312,0.312
"753",0.254,0.254
"754",0.096,0.096
"755",0.278,0.278
"756",0.242,0.242
"757",0.1725,0.1725
"758",0.215,0.215
"759",0.475,0.475
"760",0.267,0.267
"761",0.534,0.534
"762",0.455,0.455
"763",0.4955,0.4955
"764",0.393,0.393
"765",0.4395,0.4395
"766",0.274,0.274
"767",0.4305,0.4305
"768",0.148,0.148
"769",0.201,0.201
"770",0.163,0.163
"771",0.09595,0.09595
"772",0.149,0.149
"773",0.06955,0.06955
"774",0.253,0.253
"775",0.344,0.344
"776",0.414,0.414
"777",0.151,0.151
"778",0.216,0.216
"779",0.113,0.113
"780",0.443,0.443
"781",0.0795,0.0795
"782",0.509,0.509
"783",0.117,0.117
"784",0.457,0.457
"785",0.136,0.136
"786",0.412,0.412
"787",0.2125,0.2125
"788",0.266,0.266
"789",0.388,0.388
"790",0.154,0.154
"791",0.1655,0.1655
"792",0.145,0.145
"793",0.1145,0.1145
"794",0.369,0.369
"795",0.321,0.321
"796",0.145,0.145
"797",0.5665,0.5665
"798",0.126,0.126
"799",0.3315,0.3315
"800",0.37,0.37
"801",0.2755,0.2755
"802",0.303,0.303
"803",0.439,0.439
"804",0.251,0.251
"805",0.156,0.156
"806",0.376,0.376
"807",0.3035,0.3035
"808",0.414,0.414
"809",0.1795,0.1795
"810",0.933,0.933
"811",0.229,0.229
"812",0.51,0.51
"813",0.1015,0.1015
"814",0.436,0.436
"815",0.12,0.12
"816",0.408,0.408
"817",0.08775,0.08775
"818",0.202,0.202
"819",0.0702,0.0702
"820",0.166,0.166
"821",0.08835,0.08835
"822",0.255,0.255
"823",0.142,0.142
"824",0.195,0.195
"825",0.1535,0.1535
"826",0.181,0.181
"827",0.308,0.308
"828",0.122,0.122
"829",0.2345,0.2345
"830",0.213,0.213
"831",0.354,0.354
"832",0.175,0.175
"833",0.374,0.374
"834",0.0883,0.0883
"835",0.1545,0.1545
"836",0.156,0.156
"837",0.28,0.28
"838",1.05,1.05
"839",0.116,0.116
"840",0.345,0.345
"841",0.09035,0.09035
"842",0.364,0.364
"843",0.1215,0.1215
"844",0.385,0.385
"845",0.274,0.274
"846",0.508,0.508
"847",0.08675,0.08675
"848",0.316,0.316
"849",0.1355,0.1355
"850",0.325,0.325
"851",0.351,0.351
"852",0.26,0.26
"853",0.1115,0.1115
"854",0.244,0.244
"855",0.134,0.134
"856",0.397,0.397
"857",0.116,0.116
"858",0.11,0.11
"859",0.273,0.273
"860",0.24,0.24
"861",0.3605,0.3605
"862",0.237,0.237
"863",0.9865,0.9865
"864",0.214,0.214
"865",0.2735,0.2735
"866",0.159,0.159
"867",0.2,0.2
"868",0.363,0.363
"869",0.282,0.282
"870",0.335,0.335
"871",0.1755,0.1755
"872",0.45,0.45
"873",0.177,0.177
"874",0.276,0.276
"875",0.0929,0.0929
"876",0.167,0.167
"877",0.104,0.104
"878",0.406,0.406
"879",0.108,0.108
"880",0.38,0.38
"881",0.1505,0.1505
"882",0.517,0.517
"883",0.0748,0.0748
"884",0.297,0.297
"885",0.32,0.32
"886",0.21,0.21
"887",0.11,0.11
"888",0.101,0.101
"889",0.1125,0.1125
"890",0.0992,0.0992
"891",0.1225,0.1225
"892",0.115,0.115
"893",0.373,0.373
"894",0.132,0.132
"895",0.5985,0.5985
"896",0.457,0.457
"897",0.5305,0.5305
"898",0.311,0.311
"899",0.1785,0.1785
"900",0.211,0.211
"901",0.183,0.183
"902",0.201,0.201
"903",0.0705,0.0705
"904",0.199,0.199
"905",0.1755,0.1755
"906",0.38,0.38
"907",0.2175,0.2175
"908",0.317,0.317
"909",0.1035,0.1035
"910",0.328,0.328
"911",0.103,0.103
"912",0.568,0.568
"913",0.1865,0.1865
"914",0.242,0.242
"915",0.1815,0.1815
"916",0.261,0.261
"917",0.1855,0.1855
"918",0.225,0.225
"919",0.1335,0.1335
"920",0.179,0.179
"921",0.318,0.318
"922",0.286,0.286
"923",0.6155,0.6155
"924",0.258,0.258
