"","values","value2"
"1",0.984,0.984
"2",1.509,1.509
"3",0.293,0.668
"4",0.416,0.791
"5",0.52,0.52
"6",1.479,1.479
"7",0.4485,0.636
"8",0.619,0.994
"9",0.931,0.931
"10",1.196,1.196
"11",0.791,0.791
"12",0.532,0.907
"13",0.563,0.563
"14",0.28,0.655
"15",0.635,0.635
"16",0.54,0.54
"17",0.6075,0.6075
"18",0.5,0.5
"19",0.646,0.646
"20",0.481,0.481
"21",0.585,0.585
"22",0.299,0.299
"23",0.71,0.71
"24",0.409,0.409
"25",0.72,0.72
"26",0.341,0.341
"27",0.629,0.629
"28",0.497,0.497
"29",0.611,0.611
"30",0.387,0.387
"31",0.6175,0.6175
"32",0.459,0.459
"33",0.604,0.604
"34",0.427,0.427
"35",0.543,0.543
"36",0.474,0.474
"37",0.567,0.567
"38",0.701,0.701
"39",0.65,0.65
"40",1.15,1.15
"41",0.74,0.74
"42",1.05,1.05
"43",0.775,0.775
"44",1.27,1.27
"45",1.065,1.065
"46",1.14,1.14
"47",0.86,0.86
"48",1.35,1.35
"49",0.81,0.81
"50",1.23,1.23
"51",0.69,0.69
"52",1.17,1.17
"53",0.835,0.835
"54",0.84,0.84
"55",0.455,0.455
"56",0.51,0.51
"57",0.695,0.695
"58",0.63,0.63
"59",0.635,0.635
"60",0.42,0.42
"61",0.685,0.685
"62",0.49,0.49
"63",0.72,0.72
"64",0.39,0.39
"65",0.68,0.68
"66",0.35,0.35
"67",0.675,0.675
"68",0.42,0.42
"69",0.595,0.595
"70",0.42,0.42
"71",0.3902,0.3902
"72",0.3532,0.3532
"73",0.4514,0.4514
"74",0.44,0.44
"75",0.637,0.637
"76",0.729,0.729
"77",0.696,0.696
"78",1.05,1.05
"79",0.494,0.494
"80",1,1
"81",0.5265,0.5265
"82",0.874,0.874
"83",0.5365,0.5365
"84",1.27,1.27
"85",0.5995,0.5995
"86",1.15,1.15
"87",0.7,0.7
"88",1.291,1.291
"89",0.668,0.668
"90",1.38,1.38
"91",0.598,0.598
"92",0.99,0.99
"93",0.43285,0.43285
"94",0.63,0.63
"95",0.7695,0.7695
"96",0.554,0.554
"97",0.5622,0.5622
"98",0.282,0.282
"99",0.70665,0.70665
"100",0.3981,0.3981
"101",0.47895,0.47895
"102",NA,NA
"103",0.5768,0.5768
"104",0.3833,0.3833
"105",0.7583,0.7583
"106",0.4518,0.4518
"107",0.44235,0.44235
"108",0.418,0.418
"109",0.7032,0.7032
"110",0.665,0.665
"111",0.65,0.65
"112",0.74,0.74
"113",0.465,0.465
"114",0.78,0.78
"115",0.54,0.54
"116",0.69,0.69
"117",0.575,0.575
"118",0.92,0.92
"119",0.555,0.555
"120",0.9,0.9
"121",0.765,0.765
"122",0.95,0.95
"123",0.46,0.46
"124",1.38,1.38
"125",0.915,0.915
"126",1.25,1.25
"127",0.61,0.61
"128",1.15,1.15
"129",0.725,0.725
"130",1.03,1.03
"131",0.75,0.75
"132",0.9,0.9
"133",0.66,0.66
"134",1.04,1.04
"135",0.585,0.585
"136",0.55,0.55
"137",0.605,0.605
"138",0.39,0.39
"139",0.66,0.66
"140",0.42,0.42
"141",0.66,0.66
"142",0.43,0.43
"143",0.62,0.62
"144",0.41,0.41
"145",0.57,0.57
"146",0.63,0.63
"147",0.58,0.58
"148",0.66,0.66
"149",0.515,0.515
"150",0.49,0.49
"151",0.54,0.54
"152",0.61,0.61
"153",0.555,0.555
"154",0.53,0.53
"155",0.56,0.56
"156",0.67,0.67
"157",0.535,0.535
"158",0.73,0.73
"159",0.45,0.45
"160",0.75,0.75
"161",0.42,0.42
"162",0.73,0.73
"163",0.595,0.595
"164",0.74,0.74
"165",0.6,0.6
"166",1.2,1.2
"167",0.785,0.785
"168",1.21,1.21
"169",0.585,0.585
"170",0.88,0.88
"171",0.725,0.725
"172",1.46,1.46
"173",0.895,0.895
"174",0.87,0.87
"175",0.845,0.845
"176",1.18,1.18
"177",0.765,0.765
"178",0.98,0.98
"179",0.765,0.765
"180",0.82,0.82
"181",0.67,0.67
"182",0.82,0.82
"183",0.685,0.685
"184",0.66,0.66
"185",0.695,0.695
"186",0.6,0.6
"187",0.555,0.555
"188",0.69,0.69
"189",0.55,0.55
"190",0.61,0.61
"191",0.645,0.645
"192",0.87,0.87
"193",0.655,0.655
"194",0.78,0.78
"195",0.655,0.655
"196",1.02,1.02
"197",0.445,0.445
"198",0.77,0.77
"199",0.595,0.595
"200",1.62,1.62
"201",0.78,0.78
"202",1.23,1.23
"203",0.58,0.58
"204",1.32,1.32
"205",0.79,0.79
"206",1.35,1.35
"207",0.765,0.765
"208",1.11,1.11
"209",0.64,0.64
"210",0.84,0.84
"211",0.64,0.64
"212",0.98,0.98
"213",0.645,0.645
"214",0.84,0.84
"215",0.7,0.7
"216",0.66,0.66
"217",0.605,0.605
"218",0.54,0.54
"219",0.68,0.68
"220",0.64,0.64
"221",0.585,0.585
"222",0.38,0.38
"223",0.525,0.525
"224",0.42,0.42
"225",0.61,0.61
"226",0.36,0.36
"227",0.585,0.585
"228",0.53,0.53
"229",0.495,0.495
"230",0.65,0.65
"231",0.57,0.57
"232",1.11,1.11
"233",0.69,0.69
"234",1.01,1.01
"235",0.59,0.59
"236",1.27,1.27
"237",0.73,0.73
"238",1.1,1.1
"239",0.755,0.755
"240",1.53,1.53
"241",0.765,0.765
"242",1.33,1.33
"243",0.675,0.675
"244",1.12,1.12
"245",0.735,0.735
"246",1.07,1.07
"247",0.745,0.745
"248",1.09,1.09
"249",0.61,0.61
"250",0.98,0.98
"251",0.57,0.57
"252",0.63,0.63
"253",0.81,0.81
"254",0.68,0.68
"255",0.605,0.605
"256",0.48,0.48
"257",0.68,0.68
"258",0.32,0.32
"259",0.65,0.65
"260",0.38,0.38
"261",0.665,0.665
"262",0.31,0.31
"263",0.57,0.57
"264",0.54,0.54
"265",0.535,0.535
"266",0.36,0.36
"267",0.43,0.43
"268",0.34,0.34
"269",0.55,0.55
"270",0.57,0.57
"271",0.47,0.47
"272",0.39,0.39
"273",0.5,0.5
"274",0.47,0.47
"275",0.545,0.545
"276",0.63,0.63
"277",0.42,0.42
"278",0.81,0.81
"279",0.445,0.445
"280",0.66,0.66
"281",0.475,0.475
"282",0.86,0.86
"283",0.53,0.53
"284",1.32,1.32
"285",0.71,0.71
"286",1.07,1.07
"287",0.68,0.68
"288",1.23,1.23
"289",0.59,0.59
"290",1,1
"291",0.55,0.55
"292",0.6,0.6
"293",0.675,0.675
"294",0.7,0.7
"295",0.73,0.73
"296",0.61,0.61
"297",0.76,0.76
"298",0.41,0.41
"299",0.725,0.725
"300",0.34,0.34
"301",0.625,0.625
"302",0.49,0.49
"303",0.515,0.515
"304",0.34,0.34
"305",0.465,0.465
"306",0.55,0.55
"307",0.48,0.48
"308",0.5,0.5
"309",0.48,0.48
"310",0.64,0.64
"311",0.52,0.52
"312",0.51,0.51
"313",0.515,0.515
"314",0.63,0.63
"315",0.45,0.45
"316",0.78,0.78
"317",0.61,0.61
"318",0.99,0.99
"319",0.63,0.63
"320",0.87,0.87
"321",0.64,0.64
"322",0.92,0.92
"323",0.705,0.705
"324",2.23,2.23
"325",0.645,0.645
"326",1.33,1.33
"327",1.03,1.03
"328",1.32,1.32
"329",0.91,0.91
"330",1.18,1.18
"331",0.845,0.845
"332",0.97,0.97
"333",0.725,0.725
"334",0.68,0.68
"335",0.68,0.68
"336",0.6,0.6
"337",0.845,0.845
"338",0.47,0.47
"339",0.715,0.715
"340",0.38,0.38
"341",0.75,0.75
"342",0.34,0.34
"343",0.67,0.67
"344",0.35,0.35
"345",0.675,0.675
"346",0.43,0.43
"347",0.55,0.55
"348",0.4,0.4
"349",0.545,0.545
"350",0.41,0.41
"351",0.53,0.53
"352",0.53,0.53
"353",0.635,0.635
"354",0.6,0.6
"355",0.44,0.44
"356",1.14,1.14
"357",0.52,0.52
"358",0.99,0.99
"359",0.66,0.66
"360",1.37,1.37
"361",0.87,0.87
"362",1.54,1.54
"363",1.22,1.22
"364",1.66,1.66
"365",1.345,1.345
"366",1.27,1.27
"367",1.195,1.195
"368",1.24,1.24
"369",0.955,0.955
"370",0.84,0.84
"371",0.845,0.845
"372",0.68,0.68
"373",0.785,0.785
"374",0.58,0.58
"375",0.86,0.86
"376",0.44,0.44
"377",0.78,0.78
"378",0.39,0.39
"379",0.93,0.93
"380",0.54,0.54
"381",0.67,0.67
"382",0.61,0.61
"383",0.49,0.49
"384",0.34,0.34
"385",0.625,0.625
"386",0.41,0.41
"387",0.67,0.67
"388",0.5,0.5
"389",0.535,0.535
"390",0.56,0.56
"391",0.655,0.655
"392",0.54,0.54
"393",0.47,0.47
"394",0.97,0.97
"395",0.495,0.495
"396",0.61,0.61
