"station","date","layer","tss","tdp_lo","tdp_hi","tp_lo","tp_hi"
"CB3.3C",1985-05-21,"AP",6.9,0.036,0.036,0.0512,0.0512
"CB3.3C",1985-05-21,"B",7.6,0.017,0.017,0.031,0.031
"CB3.3C",1985-05-21,"BP",7.8,0.008,0.008,0.0252,0.0252
"CB3.3C",1985-05-21,"S",7,0.0255,0.0255,0.0476,0.0476
"CB3.3C",1985-06-04,"AP",5,0,0.005,0.0231,0.0281
"CB3.3C",1985-06-04,"B",10.4,0.004,0.0065,0.02375,0.02625
"CB3.3C",1985-06-04,"BP",6.6,0.032,0.032,0.045,0.045
"CB3.3C",1985-06-04,"S",5.8,0.064,0.064,0.0841,0.0841
"CB3.3C",1985-06-18,"AP",17.5,0.037,0.037,0.0551,0.0551
"CB3.3C",1985-06-18,"B",31.2,0.014,0.014,0.0277,0.0277
