"","values","value2"
"1",0,0.007
"2",0,0.007
"3",0,0.007
"4",0,0.007
"5",0.0108,0.0108
"6",0.004,0.004
"7",0.0038,0.0038
"8",0.0032,0.0032
"9",0.0023,0.0023
"10",0.0019,0.0019
"11",0.0036,0.0036
"12",0.0033,0.0033
"13",0.0024,0.0024
"14",0.0024,0.0024
"15",0.0063,0.0063
"16",0.00575,0.00575
"17",0.00895,0.00895
"18",0.0048,0.0048
"19",0.014,0.014
"20",0.0057,0.0057
"21",0.0379,0.0379
"22",0.0065,0.0065
"23",0.0472,0.0472
"24",0.0114,0.0114
"25",0.0446,0.0446
"26",0.0031,0.0031
"27",0.0447,0.0447
"28",0.0143,0.0143
"29",0.09955,0.09955
"30",0.0052,0.0052
"31",0.0183,0.0183
"32",0.0129,0.0129
"33",0.02385,0.02385
"34",0.0034,0.0034
"35",0.01335,0.01335
"36",0.0048,0.0048
"37",0.01515,0.01515
"38",0.0106,0.0106
"39",0.01935,0.01935
"40",0.0159,0.0159
"41",0.00505,0.00505
"42",0.0021,0.0021
"43",0.0038,0.0038
"44",0.0023,0.0023
"45",0.0043,0.0043
"46",0.0024,0.0024
"47",0.00425,0.00425
"48",0.0069,0.0069
"49",0.00305,0.00305
"50",0.0025,0.0025
"51",0.0041,0.0041
"52",0.0027,0.0027
"53",0.0029,0.0029
"54",0.004,0.004
"55",0.00295,0.00295
"56",0.0026,0.0026
"57",0.0089,0.0089
"58",0.0042,0.0042
"59",0.0127,0.0127
"60",0.0048,0.0048
"61",0.06675,0.06675
"62",0.0059,0.0059
"63",0.1112,0.1112
"64",0.006,0.006
"65",0.0901,0.0901
"66",0.0104,0.0104
"67",0.02445,0.02445
"68",0.0052,0.0052
"69",0.0187,0.0187
"70",0.0079,0.0079
"71",0.02345,0.02345
"72",0.015,0.015
"73",0.02615,0.02615
"74",0.0052,0.0052
"75",0.02675,0.02675
"76",0.02,0.02
"77",0.01165,0.01165
"78",0.0028,0.0028
"79",0.0031,0.0031
"80",0.0073,0.0073
"81",0.00305,0.00305
"82",0.0024,0.0024
"83",0.0032,0.0032
"84",0,0.0016
"85",0.0025,0.0025
"86",0.0018,0.0018
"87",0.0037,0.0037
"88",0.0034,0.0034
"89",0.0034,0.0034
"90",0.0103,0.0103
"91",0.00125,0.00205
"92",0,0.0016
"93",0.00355,0.00355
"94",0,0.0016
"95",0.0202,0.0202
"96",0.0068,0.0068
"97",0.0386,0.0386
"98",0.0061,0.0061
"99",0.0705,0.0705
"100",0.0115,0.0115
"101",0.081,0.081
"102",0.0071,0.0071
"103",0.0868,0.0868
"104",0.009,0.009
"105",0.0944,0.0944
"106",0.003,0.003
"107",0.0541,0.0541
"108",0.0126,0.0126
"109",0.0608,0.0608
"110",0.0089,0.0089
"111",0.0329,0.0329
"112",0.0231,0.0231
"113",0.0078,0.0078
"114",0.0041,0.0041
"115",0.01205,0.01205
"116",0.0028,0.0028
"117",0.01205,0.01205
"118",0.0021,0.0021
"119",NA,NA
"120",NA,NA
"121",0.0045,0.0045
"122",0.0024,0.0024
"123",0.00495,0.00495
"124",0.0051,0.0051
"125",0.00545,0.00545
"126",0.0017,0.0017
"127",0.0055,0.0055
"128",0.0046,0.0046
"129",0.0042,0.0042
"130",0.009,0.009
"131",0.00325,0.00325
"132",0.0026,0.0026
"133",0.00365,0.00365
"134",0.0025,0.0025
"135",0.03355,0.03355
"136",0.0108,0.0108
"137",0.0292,0.0292
"138",0.0031,0.0031
"139",0.0204,0.0204
"140",0.0042,0.0042
"141",0.0537,0.0537
"142",0.0175,0.0175
"143",0.0622,0.0622
"144",0.0122,0.0122
"145",0.0628,0.0628
"146",0.017,0.017
"147",0.05005,0.05005
"148",0.0228,0.0228
"149",0.02905,0.02905
"150",0.0046,0.0046
"151",0.0286,0.0286
"152",0.0075,0.0075
"153",0.00525,0.00525
"154",0.0058,0.0058
"155",0.01145,0.01145
"156",0.0077,0.0077
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",0.00305,0.00305
"168",0.0058,0.0058
"169",NA,NA
"170",NA,NA
"171",0.0023,0.0023
"172",0.0069,0.0069
"173",0.0071,0.0071
"174",0.0055,0.0055
"175",0.01875,0.01875
"176",0.0137,0.0137
"177",0.0786,0.0786
"178",0.0056,0.0056
"179",NA,NA
"180",NA,NA
"181",0.08105,0.08105
"182",0.0073,0.0073
"183",NA,NA
"184",NA,NA
"185",0.04695,0.04695
"186",0.0097,0.0097
"187",NA,NA
"188",NA,NA
"189",0.0113,0.0113
"190",0.0113,0.0113
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",0.0074,0.0074
"204",0.0026,0.0026
"205",0.01745,0.01745
"206",0.0067,0.0067
"207",0.0245,0.0245
"208",0.0026,0.0026
"209",0.0024,0.0024
"210",0.0015,0.0015
"211",0.02345,0.02345
"212",0.0036,0.0036
"213",0.0074,0.0074
"214",0.0047,0.0047
"215",NA,NA
"216",NA,NA
"217",0.0483,0.0483
"218",0.0082,0.0082
"219",NA,NA
"220",NA,NA
"221",0.0528,0.0528
"222",0.0152,0.0152
"223",NA,NA
"224",NA,NA
"225",0.0741,0.0741
"226",0.0089,0.0089
"227",NA,NA
"228",NA,NA
"229",0.01215,0.01215
"230",0.0095,0.0095
"231",NA,NA
"232",NA,NA
"233",NA,NA
"234",NA,NA
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",NA,NA
"240",NA,NA
"241",NA,NA
"242",NA,NA
"243",0.00365,0.00365
"244",0.0032,0.0032
"245",NA,NA
"246",NA,NA
"247",0.0022,0.0022
"248",0.0017,0.0017
"249",NA,NA
"250",NA,NA
"251",0.01095,0.01095
"252",0.0021,0.0021
"253",0.0036,0.0036
"254",0.003,0.003
"255",0.01505,0.01505
"256",0.0029,0.0029
"257",0.07265,0.07265
"258",0.0119,0.0119
"259",0.06795,0.06795
"260",0.0052,0.0052
"261",0.08565,0.08565
"262",0.0024,0.0024
"263",0.0585,0.0585
"264",0.0183,0.0183
"265",0.0248,0.0248
"266",0.0089,0.0089
"267",0.0355,0.0355
"268",0.0059,0.0059
"269",0.00955,0.00955
"270",0.0043,0.0043
"271",0.0136,0.0136
"272",0.0035,0.0035
"273",0.00925,0.00925
"274",0.0069,0.0069
"275",0.0109,0.0109
"276",0.0036,0.0036
"277",0.0025,0.0025
"278",0.0061,0.0061
"279",0.00235,0.00235
"280",0.0017,0.0017
"281",0.0037,0.0037
"282",0.0047,0.0047
"283",0.00315,0.00315
"284",0.0062,0.0062
"285",0.00495,0.00495
"286",0.0028,0.0028
"287",0.00135,0.00135
"288",0.0016,0.0016
"289",0.00275,0.00275
"290",0.003,0.003
"291",0.0022,0.0022
"292",0.0017,0.0017
"293",0.01045,0.01045
"294",0.0057,0.0057
"295",0.00565,0.00565
"296",0.0057,0.0057
"297",0.0172,0.0172
"298",0.005,0.005
"299",0.0447,0.0447
"300",0.0049,0.0049
"301",0.075,0.075
"302",0.0063,0.0063
"303",0.0458,0.0458
"304",0.0046,0.0046
"305",0.0335,0.0335
"306",0.0137,0.0137
"307",0.01135,0.01135
"308",0.0193,0.0193
"309",0.0127,0.0127
"310",0.014,0.014
"311",0.0162,0.0162
"312",0.0058,0.0058
"313",0.01515,0.01515
"314",0.0032,0.0032
"315",0.0057,0.0057
"316",0.0072,0.0072
"317",0.01,0.01
"318",0.0055,0.0055
"319",0.00335,0.00335
"320",0.0015,0.0015
"321",0.0033,0.0033
"322",0.0042,0.0042
"323",0.0053,0.0053
"324",0.0066,0.0066
"325",0.00715,0.00715
"326",0.0107,0.0107
"327",0.02235,0.02235
"328",0.0164,0.0164
"329",0.01715,0.01715
"330",0.0099,0.0099
"331",0.0045,0.0045
"332",0.0028,0.0028
"333",0.0442,0.0442
"334",0.0027,0.0027
"335",0.03005,0.03005
"336",0.0045,0.0045
"337",0.0479,0.0479
"338",0.0033,0.0033
"339",0.06215,0.06215
"340",0.0053,0.0053
"341",0.1029,0.1029
"342",0.006,0.006
"343",0.07985,0.07985
"344",0.0045,0.0045
"345",0.044,0.044
"346",0.0214,0.0214
"347",0.0262,0.0262
"348",0.011,0.011
"349",0.01385,0.01385
"350",0.0148,0.0148
"351",0.0122,0.0122
"352",0.005,0.005
"353",0.0178,0.0178
"354",0.0064,0.0064
"355",0.00875,0.00875
"356",0.0155,0.0155
"357",0.0041,0.0041
"358",0.0059,0.0059
"359",0.0082,0.0082
"360",0.0058,0.0058
"361",0.01215,0.01215
"362",0.011,0.011
"363",0.01055,0.01055
"364",0.0095,0.0095
"365",0.01055,0.01055
"366",0.0134,0.0134
"367",0.01255,0.01255
"368",0.0175,0.0175
"369",0.00325,0.00325
"370",0.0012,0.0012
"371",0.00965,0.00965
"372",0.0102,0.0102
"373",0.0078,0.0078
"374",0.0058,0.0058
"375",0.0536,0.0536
"376",0.002,0.002
"377",0.0533,0.0533
"378",0.0128,0.0128
"379",0.1003,0.1003
"380",0.004,0.004
"381",0.0906,0.0906
"382",0.0018,0.0018
"383",0.0595,0.0595
"384",0.0039,0.0039
"385",0.0315,0.0315
"386",0.0049,0.0049
"387",0.0167,0.0167
"388",0.0096,0.0096
"389",0.0149,0.0149
"390",0.0036,0.0036
"391",0.01535,0.01535
"392",0.0029,0.0029
"393",0.0067,0.0067
"394",0.0099,0.0099
"395",0.0043,0.0043
"396",0.002,0.002
"397",0.006,0.006
"398",0.0056,0.0056
"399",0.00395,0.00395
"400",0.002,0.002
"401",0.00515,0.00515
"402",0.002,0.002
"403",0.0036,0.0036
"404",0.0061,0.0061
"405",0.00435,0.00435
"406",0.0023,0.0023
"407",0.0032,0.0032
"408",0.0016,0.0016
"409",0.00415,0.00415
"410",0.0031,0.0031
"411",0.02435,0.02435
"412",0.0062,0.0062
"413",0.0123,0.0123
"414",0.0047,0.0047
"415",0.05115,0.05115
"416",0.006,0.006
"417",0.08225,0.08225
"418",0.0021,0.0021
"419",0.08705,0.08705
"420",0.0133,0.0133
"421",0.03035,0.03035
"422",0.0045,0.0045
"423",0.0709,0.0709
"424",0.0183,0.0183
"425",0.0871,0.0871
"426",0.0274,0.0274
"427",0.02375,0.02375
"428",0.0016,0.0016
"429",0.03935,0.03935
"430",0.0096,0.0096
"431",0.0181,0.0181
"432",0.0312,0.0312
"433",0.00505,0.00505
"434",0.004,0.004
"435",0.0042,0.0042
"436",0.0154,0.0154
"437",0.00285,0.00285
"438",0.0022,0.0022
"439",0.00775,0.00775
"440",0.0028,0.0028
"441",0.00485,0.00485
"442",0.0042,0.0042
