"","values","value2"
"1",NA,NA
"2",1.8,1.8
"3",NA,NA
"4",1.5,1.5
"5",NA,NA
"6",2,2
"7",NA,NA
"8",2,2
"9",NA,NA
"10",1.5,1.5
"11",NA,NA
"12",1.1,1.1
"13",NA,NA
"14",1.2,1.2
"15",NA,NA
"16",1.1,1.1
"17",NA,NA
"18",1.5,1.5
"19",NA,NA
"20",1.3,1.3
"21",NA,NA
"22",1,1
"23",NA,NA
"24",1,1
"25",NA,NA
"26",1,1
"27",NA,NA
"28",1.1,1.1
"29",NA,NA
"30",1,1
"31",NA,NA
"32",0.8,0.8
"33",NA,NA
"34",1.5,1.5
"35",NA,NA
"36",1.8,1.8
"37",NA,NA
"38",1.4,1.4
"39",NA,NA
"40",1.5,1.5
"41",NA,NA
"42",1.8,1.8
"43",NA,NA
"44",1,1
"45",NA,NA
"46",1.4,1.4
"47",NA,NA
"48",0.3,0.3
"49",NA,NA
"50",1.1,1.1
"51",NA,NA
"52",1.1,1.1
"53",NA,NA
"54",1,1
"55",NA,NA
"56",1,1
"57",NA,NA
"58",1.4,1.4
"59",NA,NA
"60",0.8,0.8
"61",NA,NA
"62",0.8,0.8
"63",NA,NA
"64",0.8,0.8
"65",NA,NA
"66",0.8,0.8
"67",NA,NA
"68",0.7,0.7
"69",NA,NA
"70",1.2,1.2
"71",NA,NA
"72",1.5,1.5
"73",NA,NA
"74",1.5,1.5
"75",NA,NA
"76",2.4,2.4
"77",NA,NA
"78",1.6,1.6
"79",NA,NA
"80",2.2,2.2
"81",NA,NA
"82",1.7,1.7
"83",NA,NA
"84",0.8,0.8
"85",NA,NA
"86",1.4,1.4
"87",NA,NA
"88",0.8,0.8
"89",NA,NA
"90",0.8,0.8
"91",NA,NA
"92",1.8,1.8
"93",NA,NA
"94",1.4,1.4
"95",NA,NA
"96",1.2,1.2
"97",NA,NA
"98",1,1
"99",NA,NA
"100",1,1
"101",NA,NA
"102",1.4,1.4
"103",NA,NA
"104",0.8,0.8
"105",NA,NA
"106",1,1
"107",NA,NA
"108",1.4,1.4
"109",NA,NA
"110",1,1
"111",NA,NA
"112",1.8,1.8
"113",NA,NA
"114",1.2,1.2
"115",NA,NA
"116",2.2,2.2
"117",NA,NA
"118",2,2
"119",NA,NA
"120",2.5,2.5
"121",NA,NA
"122",1.2,1.2
"123",NA,NA
"124",1.2,1.2
"125",NA,NA
"126",1.9,1.9
"127",NA,NA
"128",1.6,1.6
"129",NA,NA
"130",1.6,1.6
"131",NA,NA
"132",1.1,1.1
"133",NA,NA
"134",0.8,0.8
"135",NA,NA
"136",1,1
"137",NA,NA
"138",1.1,1.1
"139",NA,NA
"140",1.1,1.1
"141",NA,NA
"142",0.9,0.9
"143",NA,NA
"144",0.6,0.6
"145",NA,NA
"146",1.2,1.2
"147",NA,NA
"148",1.2,1.2
"149",NA,NA
"150",1.8,1.8
"151",NA,NA
"152",1.6,1.6
"153",NA,NA
"154",1.6,1.6
"155",NA,NA
"156",4,4
"157",NA,NA
"158",2.4,2.4
"159",NA,NA
"160",1.8,1.8
"161",NA,NA
"162",2.7,2.7
"163",NA,NA
"164",1.8,1.8
"165",NA,NA
"166",1.2,1.2
"167",NA,NA
"168",2.2,2.2
"169",NA,NA
"170",1.6,1.6
"171",NA,NA
"172",0.7,0.7
"173",NA,NA
"174",1.2,1.2
"175",NA,NA
"176",0.5,0.5
"177",NA,NA
"178",1,1
"179",NA,NA
"180",0.6,0.6
"181",NA,NA
"182",1,1
"183",NA,NA
"184",0.6,0.6
"185",NA,NA
"186",1,1
"187",NA,NA
"188",1.5,1.5
"189",NA,NA
"190",1.6,1.6
"191",NA,NA
"192",1.6,1.6
"193",NA,NA
"194",1.8,1.8
"195",NA,NA
"196",1.2,1.2
"197",NA,NA
"198",1.6,1.6
"199",NA,NA
"200",0.6,0.6
"201",NA,NA
"202",1.2,1.2
"203",NA,NA
"204",0.5,0.5
"205",NA,NA
"206",0.8,0.8
"207",NA,NA
"208",1,1
"209",NA,NA
"210",1.3,1.3
"211",NA,NA
"212",1.2,1.2
"213",NA,NA
"214",1,1
"215",NA,NA
"216",1.3,1.3
"217",NA,NA
"218",1.2,1.2
"219",NA,NA
"220",0.8,0.8
"221",NA,NA
"222",0.7,0.7
"223",NA,NA
"224",1,1
"225",NA,NA
"226",1.5,1.5
"227",NA,NA
"228",1.3,1.3
"229",NA,NA
"230",1.2,1.2
"231",NA,NA
"232",1,1
"233",NA,NA
"234",1.1,1.1
"235",NA,NA
"236",1.2,1.2
"237",NA,NA
"238",1.4,1.4
"239",NA,NA
"240",1.2,1.2
"241",NA,NA
"242",1,1
"243",NA,NA
"244",1,1
"245",NA,NA
"246",1.2,1.2
"247",NA,NA
"248",1,1
"249",NA,NA
"250",1.2,1.2
"251",NA,NA
"252",1.6,1.6
"253",NA,NA
"254",1,1
"255",NA,NA
"256",1.6,1.6
"257",NA,NA
"258",1.2,1.2
"259",NA,NA
"260",1,1
"261",NA,NA
"262",1,1
"263",NA,NA
"264",0.9,0.9
"265",NA,NA
"266",1.6,1.6
"267",NA,NA
"268",1.2,1.2
"269",NA,NA
"270",1.2,1.2
"271",NA,NA
"272",1,1
"273",NA,NA
"274",1.6,1.6
"275",NA,NA
"276",2,2
"277",NA,NA
"278",1.2,1.2
"279",NA,NA
"280",1.5,1.5
"281",NA,NA
"282",0.7,0.7
"283",NA,NA
"284",0.8,0.8
"285",NA,NA
"286",1.8,1.8
"287",NA,NA
"288",1,1
"289",NA,NA
"290",0.5,0.5
"291",NA,NA
"292",1.6,1.6
"293",NA,NA
"294",1.2,1.2
"295",NA,NA
"296",1,1
"297",NA,NA
"298",1.2,1.2
"299",NA,NA
"300",1.1,1.1
"301",NA,NA
"302",1,1
"303",NA,NA
"304",1.2,1.2
"305",NA,NA
"306",1.2,1.2
"307",NA,NA
"308",1.2,1.2
"309",NA,NA
"310",1,1
"311",NA,NA
"312",2.3,2.3
"313",NA,NA
"314",1.1,1.1
"315",NA,NA
"316",1.4,1.4
"317",NA,NA
"318",1.4,1.4
"319",NA,NA
"320",1.6,1.6
"321",NA,NA
"322",1.5,1.5
"323",NA,NA
"324",0.8,0.8
"325",NA,NA
"326",0.5,0.5
"327",NA,NA
"328",0.4,0.4
"329",NA,NA
"330",0.8,0.8
"331",NA,NA
"332",1.2,1.2
"333",NA,NA
"334",1,1
"335",NA,NA
"336",1.2,1.2
"337",NA,NA
"338",1.3,1.3
"339",NA,NA
"340",1.2,1.2
"341",NA,NA
"342",1,1
"343",NA,NA
"344",1.2,1.2
"345",NA,NA
"346",1.2,1.2
"347",NA,NA
"348",0.9,0.9
"349",NA,NA
"350",1.2,1.2
"351",NA,NA
"352",1.8,1.8
"353",NA,NA
"354",1.3,1.3
"355",NA,NA
"356",0.5,0.5
"357",NA,NA
"358",1.2,1.2
"359",NA,NA
"360",1.1,1.1
"361",NA,NA
"362",0.7,0.7
"363",NA,NA
"364",0.4,0.4
"365",NA,NA
"366",0.6,0.6
"367",NA,NA
"368",1,1
"369",NA,NA
"370",1.3,1.3
"371",NA,NA
"372",0.8,0.8
"373",NA,NA
"374",0.8,0.8
"375",NA,NA
"376",1,1
"377",NA,NA
"378",0.8,0.8
"379",NA,NA
"380",1.1,1.1
"381",NA,NA
"382",0.9,0.9
"383",NA,NA
"384",1,1
"385",NA,NA
"386",1.7,1.7
"387",NA,NA
"388",1.7,1.7
"389",NA,NA
"390",1.6,1.6
"391",NA,NA
"392",1.6,1.6
"393",NA,NA
"394",1.2,1.2
"395",NA,NA
"396",1.8,1.8
"397",NA,NA
"398",1.6,1.6
"399",NA,NA
"400",1.8,1.8
"401",NA,NA
"402",1.1,1.1
"403",NA,NA
"404",0.8,0.8
"405",NA,NA
"406",1.6,1.6
"407",NA,NA
"408",1.2,1.2
"409",NA,NA
"410",0.9,0.9
"411",NA,NA
"412",1.1,1.1
"413",NA,NA
"414",1,1
"415",NA,NA
"416",0.9,0.9
"417",NA,NA
"418",0.9,0.9
"419",NA,NA
"420",0.5,0.5
"421",NA,NA
"422",1.1,1.1
"423",NA,NA
"424",1.5,1.5
"425",NA,NA
"426",1.6,1.6
"427",NA,NA
"428",1.2,1.2
"429",NA,NA
"430",2.2,2.2
"431",NA,NA
"432",1.2,1.2
"433",NA,NA
"434",1.4,1.4
"435",NA,NA
"436",0.2,0.2
"437",NA,NA
"438",0.9,0.9
"439",NA,NA
"440",0.6,0.6
"441",NA,NA
"442",1.1,1.1
"443",NA,NA
"444",1.2,1.2
"445",NA,NA
"446",0.6,0.6
"447",NA,NA
"448",1.2,1.2
"449",NA,NA
"450",1,1
"451",NA,NA
"452",0.9,0.9
"453",NA,NA
"454",1.1,1.1
"455",NA,NA
"456",0.7,0.7
"457",NA,NA
"458",1.1,1.1
"459",NA,NA
"460",0.8,0.8
"461",NA,NA
"462",0.6,0.6
"463",NA,NA
"464",0.3,0.3
"465",NA,NA
"466",0.4,0.4
"467",NA,NA
"468",NA,NA
"469",NA,NA
"470",NA,NA
"471",NA,NA
"472",1.4,1.4
"473",NA,NA
"474",0.7,0.7
"475",NA,NA
"476",0.8,0.8
"477",NA,NA
"478",1.8,1.8
"479",NA,NA
"480",1.5,1.5
"481",NA,NA
"482",0.9,0.9
"483",NA,NA
"484",0.8,0.8
"485",NA,NA
"486",0.8,0.8
"487",NA,NA
"488",1.1,1.1
"489",NA,NA
"490",1,1
"491",NA,NA
"492",1.3,1.3
"493",NA,NA
"494",1.6,1.6
"495",NA,NA
"496",1.1,1.1
"497",NA,NA
"498",2.2,2.2
"499",NA,NA
"500",NA,NA
"501",NA,NA
"502",NA,NA
"503",NA,NA
"504",0.6,0.6
"505",NA,NA
"506",0.9,0.9
"507",NA,NA
"508",0.8,0.8
"509",NA,NA
"510",1.2,1.2
"511",NA,NA
"512",0.9,0.9
"513",NA,NA
"514",1.2,1.2
"515",NA,NA
"516",0.8,0.8
"517",NA,NA
"518",1.1,1.1
"519",NA,NA
"520",1,1
"521",NA,NA
