"","values","value2"
"1",0,0.012
"2",0,0.012
"3",0,0.01
"4",0,0.01
"5",NA,NA
"6",NA,NA
"7",0.0165,0.0165
"8",0.02,0.02
"9",0.008,0.008
"10",NA,NA
"11",0.019,0.019
"12",0.008,0.008
"13",0.028,0.028
"14",0.013,0.013
"15",0.017,0.017
"16",0.0255,0.0255
"17",0.004,0.0065
"18",0.064,0.064
"19",0.014,0.014
"20",0.026,0.026
"21",0.04,0.04
"22",0.019,0.019
"23",0.047,0.047
"24",0.0145,0.0145
"25",0.056,0.056
"26",0.042,0.042
"27",0.0395,0.0395
"28",0.034,0.034
"29",0.111,0.111
"30",0.013,0.013
"31",0.023,0.023
"32",0.054,0.054
"33",0.025,0.025
"34",0.011,0.011
"35",0.0115,0.0115
"36",0.006,0.006
"37",0.015,0.015
"38",0.024,0.024
"39",0.0365,0.0365
"40",0.021,0.021
"41",0.0085,0.0085
"42",0.011,0.011
"43",0.015,0.015
"44",0.01,0.01
"45",0.0105,0.0105
"46",0.008,0.008
"47",0.01,0.01
"48",0.016,0.016
"49",0,0.005
"50",0.007,0.007
"51",0,0.005
"52",0.01,0.01
"53",0.0035,0.006
"54",0,0.005
"55",0,0.005
"56",0.023,0.023
"57",0.015,0.015
"58",0.018,0.018
"59",0.015,0.015
"60",0.011,0.011
"61",0.0765,0.0765
"62",0.02,0.02
"63",0.112,0.112
"64",0.021,0.021
"65",0.0965,0.0965
"66",0.02,0.02
"67",0.0295,0.0295
"68",0.017,0.017
"69",0.0195,0.0195
"70",0.015,0.015
"71",0.029,0.029
"72",0.025,0.025
"73",0.0335,0.0335
"74",0.018,0.018
"75",0.0335,0.0335
"76",0.029,0.029
"77",0.0205,0.0205
"78",0.015,0.015
"79",0.011,0.011
"80",0.015,0.015
"81",0.011,0.011
"82",0.009,0.009
"83",0.011,0.011
"84",0.008,0.008
"85",0.0095,0.0095
"86",0.009,0.009
"87",0.0125,0.0125
"88",0.011,0.011
"89",0.0105,0.0105
"90",0.014,0.014
"91",0.013,0.013
"92",0.012,0.012
"93",0.012,0.012
"94",0.009,0.009
"95",0.025,0.025
"96",0.016,0.016
"97",0.046,0.046
"98",0.02,0.02
"99",0.081,0.081
"100",0.018,0.018
"101",0.0845,0.0845
"102",0.017,0.017
"103",0.1,0.1
"104",0.035,0.035
"105",0.1065,0.1065
"106",0.021,0.021
"107",0.0595,0.0595
"108",0.035,0.035
"109",0.069,0.069
"110",0.025,0.025
"111",0.0345,0.0345
"112",0.026,0.026
"113",0.009,0.009
"114",0.008,0.008
"115",0.014,0.014
"116",0.006,0.006
"117",0.0115,0.0115
"118",0.002,0.002
"119",0.005,0.005
"120",0.003,0.003
"121",0.004,0.004
"122",0.002,0.002
"123",0.0045,0.0045
"124",0.011,0.011
"125",0.0025,0.0025
"126",0.002,0.002
"127",0,0.001
"128",0.002,0.002
"129",0.0085,0.0085
"130",0.011,0.011
"131",0,0.001
"132",0,0.001
"133",0.005,0.005
"134",0.007,0.007
"135",0.0335,0.0335
"136",0.021,0.021
"137",0.0245,0.0245
"138",0.009,0.009
"139",0.0165,0.0165
"140",0.007,0.007
"141",0.0475,0.0475
"142",0.023,0.023
"143",0.0615,0.0615
"144",0.03,0.03
"145",0.05985,0.05985
"146",0.0282,0.0282
"147",0.0493,0.0493
"148",0.0279,0.0279
"149",0.0318,0.0318
"150",0.0177,0.0177
"151",0.033,0.033
"152",0.0153,0.0153
"153",0.01015,0.01015
"154",0.0131,0.0131
"155",0.0143,0.0143
"156",0.0118,0.0118
"157",0.01615,0.01615
"158",0.0109,0.0109
"159",0.004,0.004
"160",0.0034,0.0034
"161",0.0085,0.0085
"162",0.0079,0.0079
"163",0.0058,0.0058
"164",0.0038,0.0038
"165",0.0074,0.0074
"166",0.0106,0.0106
"167",0.00315,0.00315
"168",0.0098,0.0098
"169",0.0036,0.0036
"170",0.0089,0.0089
"171",0.0058,0.0058
"172",0.0192,0.0192
"173",0.0055,0.0055
"174",0.0136,0.0136
"175",0.01645,0.01645
"176",0.0199,0.0199
"177",0.0821,0.0821
"178",0.0185,0.0185
"179",0.098,0.098
"180",0.0175,0.0175
"181",0.0772,0.0772
"182",0.0182,0.0182
"183",0.03175,0.03175
"184",0.0443,0.0443
"185",0.0486,0.0486
"186",0.0198,0.0198
"187",0.02795,0.02795
"188",0.0357,0.0357
"189",0.0162,0.0162
"190",0.0157,0.0157
"191",0.0196,0.0196
"192",0.0354,0.0354
"193",0.0283,0.0283
"194",0.0193,0.0193
"195",0.00955,0.00955
"196",0.0182,0.0182
"197",0.00785,0.00785
"198",0.0091,0.0091
"199",0.00805,0.00805
