"","values","value2"
"1",0,4
"2",0,4
"3",22,22
"4",4,4
"5",108,108
"6",0,4
"7",26.5,26.5
"8",4,4
"9",12,12
"10",0,4
"11",11,11
"12",0,4
"13",8,8
"14",4,4
"15",7.6,7.6
"16",7,7
"17",10.4,10.4
"18",5.8,5.8
"19",31.2,31.2
"20",29.1,29.1
"21",20.8,20.8
"22",12.2,12.2
"23",17,17
"24",16.6,16.6
"25",5.4,5.4
"26",6.6,6.6
"27",8.1,8.1
"28",5.8,5.8
"29",23.35,23.35
"30",16.2,16.2
"31",27.3,27.3
"32",4.8,4.8
"33",12.45,12.45
"34",7.5,7.5
"35",15.9,15.9
"36",5.6,5.6
"37",70.5,70.5
"38",12.5,12.5
"39",60.8,60.8
"40",4.8,4.8
"41",48.35,48.35
"42",6.5,6.5
"43",22.15,22.15
"44",5.8,5.8
"45",6.15,6.15
"46",7.2,7.2
"47",90.8,90.8
"48",20.3,20.3
"49",85.2,85.2
"50",6.4,6.4
"51",15.8,15.8
"52",6.6,6.6
"53",16.85,16.85
"54",11.4,11.4
"55",11.15,11.15
"56",6.8,6.8
"57",0,4
"58",4.4,4.4
"59",10.25,10.25
"60",7.1,7.1
"61",4.3,4.3
"62",10,10
"63",5.6,5.6
"64",8,8
"65",0,4
"66",8,8
"67",8.45,8.45
"68",8.5,8.5
"69",16.4,16.4
"70",5.7,5.7
"71",20,20
"72",7,7
"73",73.85,73.85
"74",5.4,5.4
"75",15.9,15.9
"76",0,4
"77",26.1,26.1
"78",4.4,4.4
"79",12.7,12.7
"80",4.8,4.8
"81",105.25,105.25
"82",6.7,6.7
"83",16.75,16.75
"84",10.5,10.5
"85",22.05,22.05
"86",7,7
"87",17.95,17.95
"88",10.2,10.2
"89",8.4,8.4
"90",9,9
"91",10.8,10.8
"92",5.7,5.7
"93",11.1,11.1
"94",5.8,5.8
"95",5.85,5.85
"96",4,4
"97",4.95,4.95
"98",4.6,4.6
"99",7,7
"100",7.3,7.3
"101",9.05,9.05
"102",4.4,4.4
"103",14,14
"104",8.1,8.1
"105",4.1,4.1
"106",6.3,6.3
"107",5.25,5.25
"108",6.4,6.4
"109",3.6,3.6
"110",4.8,4.8
"111",8.25,8.25
"112",3.9,3.9
"113",8.75,8.75
"114",5.6,5.6
"115",33.15,33.15
"116",4,4
"117",8.35,8.35
"118",2.4,2.4
"119",24.2,24.2
"120",2.8,2.8
"121",37.85,37.85
"122",6.7,6.7
"123",95.5,95.5
"124",6.8,6.8
"125",20.25,20.25
"126",11.1,11.1
"127",36.2,36.2
"128",3.7,3.7
"129",14.4,14.4
"130",5.9,5.9
"131",11.95,11.95
"132",9,9
"133",4.25,4.25
"134",6.4,6.4
"135",8.5,8.5
"136",16.7,16.7
"137",5.65,5.65
"138",7.2,7.2
"139",5.35,5.35
"140",6.6,6.6
"141",4.6,4.6
"142",14.4,14.4
"143",10.35,10.35
"144",16.8,16.8
"145",6.35,6.35
"146",9.6,9.6
"147",9.5,9.5
"148",7.6,7.6
"149",6.6,6.6
"150",5.4,5.4
"151",8.85,8.85
"152",4.8,4.8
"153",7.2,7.2
"154",8.2,8.2
"155",29.7,29.7
"156",3.8,3.8
"157",39.75,39.75
"158",7.7,7.7
"159",9.3,9.3
"160",3.7,3.7
"161",9.15,9.15
"162",4.2,4.2
"163",68.7,68.7
"164",6.5,6.5
"165",40.7,40.7
"166",6.4,6.4
"167",41,41
"168",4.2,4.2
"169",19,19
"170",4.9,4.9
"171",8.3,8.3
"172",9.6,9.6
"173",2.8,2.8
"174",5.7,5.7
"175",3.8,3.8
"176",12.6,12.6
"177",5.55,5.55
"178",5.3,5.3
"179",11.95,11.95
"180",8.9,8.9
"181",6,6
"182",5.7,5.7
"183",2.15,3.15
"184",12.6,12.6
"185",4.45,4.45
"186",6.5,6.5
"187",17.65,17.65
"188",5.9,5.9
"189",14.6,14.6
"190",5.2,5.2
"191",15.05,15.05
"192",4.6,4.6
"193",20.65,20.65
"194",5.6,5.6
"195",58.15,58.15
"196",5.9,5.9
"197",75.4,75.4
"198",4.8,4.8
"199",30.15,30.15
"200",8.7,8.7
"201",20.25,20.25
"202",7.3,7.3
"203",23,23
"204",21.5,21.5
"205",50.1,50.1
"206",7.6,7.6
"207",40.1,40.1
"208",8.1,8.1
"209",5.7,5.7
"210",5,5
"211",103.25,103.25
"212",5.3,5.3
"213",5,5
"214",8.4,8.4
"215",22.46,22.46
"216",5.9,5.9
"217",8.5,8.5
"218",8.6,8.6
"219",2.85,2.85
"220",6,6
"221",6.95,6.95
"222",8.6,8.6
"223",5.6,5.6
"224",9.7,9.7
"225",4.25,4.25
"226",6.7,6.7
"227",6,6
"228",8.7,8.7
"229",19.6,19.6
"230",7,7
"231",20.85,20.85
"232",9.4,9.4
"233",27.6,27.6
"234",5.8,5.8
"235",77.85,77.85
"236",5.7,5.7
"237",20.7,20.7
