"","station","date","layer","secchi","chla","do","tn","tp","po4f","pp","tdp","no23f","nh4f","tdn","pn","tss"
"5109","CB3.3C",1985-01-23,"B",NA,  10.700,  9.00, 1.070, 0.0280,< 0.0070, 0.0160- 0.0280,< 0.0120,  0.4170,  0.0830, 0.9840,NA,<   4.00
"5110","CB3.3C",1985-01-23,"S", 1.80,  12.000, 13.20, 1.260, 0.0300,< 0.0070, 0.0180- 0.0300,< 0.0120,  0.5460,  0.0790, 1.5100,NA,<   4.00
"5111","CB3.3C",1985-02-13,"B",NA,  16.000,NA, 0.779, 0.0430,< 0.0070, 0.0330- 0.0430,< 0.0100,  0.2930,< 0.0400,0.2930-0.6680,NA,   22.00
"5112","CB3.3C",1985-02-13,"S", 1.50,   8.700, 15.00,0.416-0.807, 0.0210,< 0.0070, 0.0110- 0.0210,< 0.0100,  0.4160,< 0.0400,0.4160-0.7910,NA,    4.00
"5113","CB3.3C",1985-03-05,"B",NA,  28.000,NA, 0.978,NA,  0.0108,NA,NA,  0.1270,  0.0690, 0.5200,NA,  108.00
"5114","CB3.3C",1985-03-05,"S", 2.00,   9.300,NA, 1.420,NA,  0.0040,NA,NA,  0.9500,  0.0240, 1.4800,NA,<   4.00
"5115","CB3.3C",1985-03-20,"B",NA,  22.400,  9.60, 0.879, 0.0630,  0.0038,  0.0465,  0.0165,  0.2380,  0.0750,0.4480-0.6360,NA,   26.50
"5116","CB3.3C",1985-03-20,"S", 2.00,  12.000, 13.60, 1.090, 0.0540,  0.0032,  0.0340,  0.0200,  0.6190,  0.0270,0.6190-0.9940,NA,    4.00
"5117","CB3.3C",1985-04-09,"B",NA,  38.000,  7.20, 1.200, 0.0680,  0.0023,  0.0600,  0.0080,  0.3160,  0.0770, 0.9310,NA,   12.00
"5118","CB3.3C",1985-04-09,"S", 1.50,  22.000, 11.40, 1.420, 0.0440,  0.0019,NA,NA,  0.7570,  0.0500, 1.2000,NA,<   4.00
"5119","CB3.3C",1985-04-23,"B",NA,  42.400,  1.10, 1.100, 0.0480,  0.0036,  0.0290,  0.0190,  0.1930,  0.1780, 0.7910,NA,   11.00
"5120","CB3.3C",1985-04-23,"S", 1.10,  34.700, 14.80,0.532-0.998, 0.0380,  0.0033,  0.0300,  0.0080,  0.5320,  0.0060,0.5320-0.9070,NA,<   4.00
"5121","CB3.3C",1985-05-07,"B",NA,NA,  2.70, 0.722, 0.0480,  0.0024,  0.0200,  0.0280,  0.1690,  0.0970, 0.5630,NA,    8.00
"5122","CB3.3C",1985-05-07,"S", 1.20,NA, 12.30,0.280-0.769, 0.0450,  0.0024,  0.0320,  0.0130,  0.2800,  0.0180,0.2800-0.6550,NA,    4.00
"5123","CB3.3C",1985-05-21,"B",NA,NA,  0.00, 0.722, 0.0310,  0.0063,  0.0140,  0.0170,  0.1170,  0.2550, 0.6350,  0.0873,    7.60
"5124","CB3.3C",1985-05-21,"S", 1.10,NA,  7.60, 0.768, 0.0476,  0.0058,  0.0221,  0.0255,  0.1920,  0.0665, 0.5400,  0.2280,    7.00
"5125","CB3.3C",1985-06-04,"B",NA,   1.800,NA, 0.725,0.0238-0.0262,  0.0090,  0.0197, 0.0040- 0.0065,  0.0840,  0.2860, 0.6070,  0.1180,   10.40
"5126","CB3.3C",1985-06-04,"S", 1.50,   3.000,  6.70, 0.738, 0.0841,  0.0048,  0.0201,  0.0640,  0.1940,  0.0770, 0.5000,  0.2380,    5.80
"5127","CB3.3C",1985-06-18,"B",NA,   1.600,  0.60, 0.731, 0.0277,  0.0140,  0.0137,  0.0140,  0.0489,  0.3170, 0.6460,  0.0851,   31.20
"5128","CB3.3C",1985-06-18,"S", 1.30,  15.000,  6.90, 0.749, 0.0486,  0.0057,  0.0226,  0.0260,  0.1540,  0.0450, 0.4810,  0.2680,   29.10
"5129","CB3.3C",1985-07-09,"B",NA,   1.000,NA, 0.662, 0.0539,  0.0379,  0.0139,  0.0400,  0.0014,  0.3320, 0.5850,  0.0772,   20.80
"5130","CB3.3C",1985-07-09,"S", 1.00,NA,  7.70, 0.713, 0.0562,  0.0065,  0.0372,  0.0190,  0.0027,< 0.0030, 0.2990,  0.4140,   12.20
"5131","CB3.3C",1985-07-24,"B",NA,NA,NA, 0.765, 0.0560,  0.0472,  0.0090,  0.0470,  0.0066,  0.3690, 0.7100,  0.0550,   17.00
"5132","CB3.3C",1985-07-24,"S", 1.00,   8.300,  7.00, 0.610, 0.0490,  0.0114,  0.0345,  0.0145,  0.0139,  0.0770, 0.4090,  0.2010,   16.60
"5133","CB3.3C",1985-08-07,"B",NA,   1.400,NA, 0.820, 0.0736,  0.0446,  0.0176,  0.0560,  0.0336,  0.3520, 0.7200,  0.1000,    5.40
"5134","CB3.3C",1985-08-07,"S", 1.00,  16.300,  6.90, 0.718, 0.0805,  0.0031,  0.0385,  0.0420,  0.0377,  0.0130, 0.3410,  0.3770,    6.60
"5135","CB3.3C",1985-08-20,"B",NA,   2.050,  0.90, 0.733, 0.0577,  0.0447,  0.0182,  0.0395,NA,  0.3280, 0.6290,  0.1040,    8.10
"5136","CB3.3C",1985-08-20,"S", 1.10,  24.300,  7.20, 0.891, 0.0770,  0.0143,  0.0430,  0.0340,  0.0830,  0.0070, 0.4970,  0.3940,    5.80
"5137","CB3.3C",1985-09-10,"B",NA,  0.550-  1.050,  0.00, 0.710, 0.1260,  0.0996,  0.0151,  0.1110,  0.0099,  0.3060, 0.6110,  0.0987,   23.40
"5138","CB3.3C",1985-09-10,"S", 1.00,   6.700,  7.40, 0.656, 0.0490,  0.0052,  0.0360,  0.0130,  0.0790,  0.0140, 0.3870,  0.2690,   16.20
"5139","CB3.3C",1985-09-24,"B",NA,   2.650,  0.60, 0.882, 0.0716,  0.0183,  0.0486,  0.0230,  0.0847,  0.2340, 0.6170,  0.2640,   27.30
"5140","CB3.3C",1985-09-24,"S", 0.80,  14.700,  8.80, 0.782, 0.0871,  0.0129,  0.0331,  0.0540,  0.0537,  0.0440, 0.4590,  0.3230,    4.80
"5141","CB3.3C",1985-10-08,"B",NA,   1.100,  1.40, 0.724, 0.0438,  0.0238,  0.0188,  0.0250,  0.0520,  0.2590, 0.6040,  0.1200,   12.40
"5142","CB3.3C",1985-10-08,"S", 1.50,  26.200, 12.90, 0.819, 0.0369,  0.0034,  0.0259,  0.0110,  0.0730,  0.0170, 0.4270,  0.3920,    7.50
"5143","CB3.3C",1985-10-22,"B",NA,  0.550-  1.050,NA, 0.690, 0.0340,  0.0134,  0.0224,  0.0115,  0.0625,  0.2180, 0.5430,  0.1480,   15.90
"5144","CB3.3C",1985-10-22,"S", 1.80,   5.400,  6.80, 0.605, 0.0202,  0.0048,  0.0142,  0.0060,  0.0980,  0.0970, 0.4740,  0.1310,    5.60
"5145","CB3.3C",1985-11-13,"B",NA,   3.450,  6.70, 0.946, 0.1030,  0.0152,  0.0820,  0.0150,  0.1570,  0.1680, 0.5670,  0.3850,   70.50
"5146","CB3.3C",1985-11-13,"S", 1.40,  15.700, 10.60, 0.969, 0.0484,  0.0106,  0.0244,  0.0240,  0.2750,  0.1240, 0.7010,  0.2680,   12.50
"5147","CB3.3C",1985-12-10,"B",NA,   2.100,  7.00, 0.934, 0.1030,  0.0194,  0.0667,  0.0365,  0.2050,  0.1600, 0.6500,  0.2840,   60.80
"5148","CB3.3C",1985-12-10,"S", 1.50,   4.500, 12.20, 1.250, 0.0366,  0.0159,  0.0156,  0.0210,  0.7700,  0.1400, 1.1500,  0.0972,    4.80
"5149","CB3.3C",1986-01-07,"B",NA,   3.950,NA, 1.030, 0.0609,  0.0050,  0.0524,  0.0085,  0.3700,  0.0625, 0.7400,  0.2940,   48.40
"5150","CB3.3C",1986-01-07,"S", 1.80,   4.700, 13.20, 1.180, 0.0296,  0.0021,  0.0186,  0.0110,  0.6300,  0.0540, 1.0500,  0.1270,    6.50
"5151","CB3.3C",1986-02-13,"B",NA,  18.300,NA, 1.140, 0.0506,  0.0038,  0.0356,  0.0150,  0.2100,  0.0510, 0.7750,  0.3660,   22.20
"5152","CB3.3C",1986-02-13,"S", 1.00,   8.700, 12.30, 1.390, 0.0305,  0.0023,  0.0205,  0.0100,  0.8700,  0.0950, 1.2700,  0.1180,    5.80
"5153","CB3.3C",1986-03-11,"B",NA,   8.100,  9.80, 1.260, 0.0329,  0.0043,  0.0224,  0.0105,  0.7400,  0.0690, 1.0600,  0.1930,    6.15
