"","values","value2"
"1",10.7,10.7
"2",12,12
"3",16,16
"4",8.7,8.7
"5",28,28
"6",9.3,9.3
"7",22.4,22.4
"8",12,12
"9",38,38
"10",22,22
"11",42.4,42.4
"12",34.7,34.7
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",1.8,1.8
"18",3,3
"19",1.6,1.6
"20",15,15
"21",1,1
"22",NA,NA
"23",NA,NA
"24",8.3,8.3
"25",1.4,1.4
"26",16.3,16.3
"27",2.05,2.05
"28",24.3,24.3
"29",0.55,1.05
"30",6.7,6.7
"31",2.65,2.65
"32",14.7,14.7
"33",1.1,1.1
"34",26.2,26.2
"35",0.55,1.05
"36",5.4,5.4
"37",3.45,3.45
"38",15.7,15.7
"39",2.1,2.1
"40",4.5,4.5
"41",3.95,3.95
"42",4.7,4.7
"43",18.3,18.3
"44",8.7,8.7
"45",8.1,8.1
"46",7.8,7.8
"47",22.7,22.7
"48",2.3,2.3
"49",25.4,25.4
"50",12,12
"51",12,12
"52",22,22
"53",38.05,38.05
"54",29.2,29.2
"55",17.15,17.15
"56",22.2,22.2
"57",0,1
"58",13.6,13.6
"59",1.8,1.8
"60",12.7,12.7
"61",1,1
"62",37.4,37.4
"63",1.35,1.35
"64",32.3,32.3
"65",0,1
"66",17.1,17.1
"67",1.25,1.25
"68",19.6,19.6
"69",2.6,2.6
"70",20,20
"71",0.6,1.1
"72",7.4,7.4
"73",1.3,1.8
"74",11.9,11.9
"75",0.75,1.25
"76",7.2,7.2
"77",2,2
"78",6.4,6.4
"79",5.85,5.85
"80",9.2,9.2
"81",24.95,24.95
"82",14.3,14.3
"83",21.9,21.9
"84",6.6,6.6
"85",27.4,27.4
"86",15,15
"87",20.3,20.3
"88",9.4,9.4
"89",24,24
"90",4.4,4.4
"91",37.45,37.45
"92",10.9,10.9
"93",15.95,15.95
"94",27.9,27.9
"95",1.7,1.7
"96",7.2,7.2
"97",2.1,2.1
"98",15,15
"99",2.35,2.35
"100",24.9,24.9
"101",1.9,1.9
"102",16.2,16.2
"103",3.1,3.1
"104",33.6,33.6
"105",2.2,2.2
"106",19.9,19.9
"107",1.05,1.05
"108",12.9,12.9
"109",0,1
"110",19.1,19.1
"111",3.15,3.15
"112",12.1,12.1
"113",2.75,2.75
"114",21.7,21.7
"115",1.6,1.6
"116",7,7
"117",1.45,1.45
"118",2.7,2.7
"119",13.8306,13.8306
"120",3.8128,3.8128
"121",20.3,20.3
"122",10.3,10.3
"123",28.75,28.75
"124",11.2,11.2
"125",5.75,5.75
"126",3.4,3.4
"127",17.75,17.75
"128",4.4,4.4
"129",15.1,15.1
"130",10.7,10.7
"131",5.9,5.9
"132",28.1,28.1
"133",5.45,5.45
"134",13.5,13.5
"135",5.35,5.35
"136",141.3,141.3
"137",NA,NA
"138",NA,NA
"139",1.1,1.1
"140",15,15
"141",1.8,1.8
"142",44.2,44.2
"143",1.2,1.2
"144",50.2,50.2
"145",1.35,1.35
"146",20,20
"147",1.35,1.35
"148",9.7,9.7
"149",1.75,1.75
"150",8.1,8.1
"151",1.8,1.8
"152",9.3,9.3
"153",6.1,6.1
"154",8.5,8.5
"155",2.4,2.4
"156",4.6,4.6
"157",4.0584,4.0584
"158",11.6626,11.6626
"159",12.26065,12.26065
"160",8.3731,8.3731
"161",11.51305,11.51305
"162",6.4294,6.4294
"163",14.5034,14.5034
"164",4.037,4.037
"165",6.13035,6.13035
"166",4.7846,4.7846
"167",6.15,6.15
"168",4.3,4.3
"169",8.29835,8.29835
"170",7.2766,7.2766
"171",10.5,10.5
"172",11.1,11.1
"173",0.5,1
"174",18.7,18.7
"175",0,1
"176",12.6,12.6
"177",1.65,1.65
"178",18.7,18.7
"179",1.56995,1.56995
"180",21.2318,21.2318
"181",1.55,1.55
"182",17.6,17.6
"183",1.7942,1.7942
"184",90.4596,90.4596
"185",2.2,2.2
"186",34.4,34.4
"187",5.9808,5.9808
"188",7.476,7.476
"189",7.65,7.65
"190",15,15
"191",3.43895,3.43895
"192",2.8409,2.8409
"193",2.9904,2.9904
"194",7.476,7.476
"195",16.5967,16.5967
"196",19.7366,19.7366
"197",28.10975,28.10975
"198",NA,NA
"199",33.642,33.642
"200",5.3827,5.3827
"201",16.29765,16.29765
"202",9.9057,9.9057
"203",28.25,28.25
"204",8.1,8.1
"205",6.6,6.6
"206",10.8,10.8
"207",5.05,5.05
"208",18.8,18.8
"209",3.6,3.6
"210",7.8,7.8
"211",4.65,4.65
"212",2.8,2.8
"213",1.8,1.8
"214",9,9
"215",2.6914,2.6914
"216",9.2702,9.2702
"217",1.2,1.2
"218",27.2,27.2
"219",1.7195,1.7195
"220",27.2126,27.2126
"221",1.9,1.9
"222",41.3,41.3
"223",0,1
"224",17.0453,17.0453
"225",2.4,2.4
"226",25.1,25.1
"227",1.4952,1.4952
"228",25.2689,25.2689
"229",3.75,3.75
"230",6.9,6.9
"231",3.1399,3.1399
"232",3.2894,3.2894
"233",2.54185,2.54185
"234",5.9808,5.9808
"235",5.4824,5.4824
"236",5.0837,5.0837
"237",4.1866,4.1866
"238",1.6447,1.6447
"239",15.6996,15.6996
"240",NA,NA
"241",28.5583,28.5583
"242",17.0453,17.0453
"243",26.9,26.9
"244",1.5,1.5
"245",6.408,6.408
"246",21.5736,21.5736
"247",24.95,24.95
"248",33,33
"249",31.69825,31.69825
"250",28.7078,28.7078
"251",2.05,2.05
"252",5.8,5.8
"253",3.45,3.45
"254",5.5,5.5
"255",1.9,1.9
"256",4.7,4.7
"257",1.55,1.55
"258",20,20
"259",1.8,1.8
"260",18.9,18.9
"261",1.5,2
"262",11.6,11.6
"263",2.85,2.85
"264",NA,NA
"265",5.55,5.55
"266",NA,NA
"267",3,3
"268",28.7,28.7
"269",6.35,6.35
"270",21.9,21.9
"271",2.7,2.7
"272",NA,NA
"273",3.35,3.35
"274",3.7,3.7
"275",3.15,3.15
"276",9.1,9.1
"277",3.65,3.65
"278",7.3,7.3
"279",10.75,10.75
"280",4.3,4.3
"281",5.3,5.3
"282",7.3,7.3
"283",7,7
"284",6,6
"285",13.75,13.75
"286",8,8
"287",16.55,16.55
"288",9.5,9.5
"289",26.9,26.9
"290",123.7,123.7
"291",8.9,8.9
"292",4.2,4.2
"293",1.15,1.15
"294",13.8,13.8
"295",1.25,1.25
"296",12.6,12.6
"297",1.3,1.3
"298",11.6,11.6
"299",1.95,1.95
"300",12.2,12.2
"301",1.25,1.25
"302",26.7,26.7
"303",0.5,1
"304",9,9
"305",0.55,1.05
"306",10.5,10.5
"307",1.4,1.4
"308",5.7,5.7
"309",2.75,2.75
"310",6.4,6.4
"311",1.15,1.15
"312",8.1,8.1
"313",1.9,1.9
"314",34.8,34.8
"315",1.3,1.3
"316",4.3,4.3
"317",2.6,2.6
"318",9.2,9.2
"319",9.35,9.35
"320",1.7,1.7
"321",9.1,9.1
"322",4.9,4.9
"323",15.15,15.15
"324",2.5,2.5
"325",9.35,9.35
"326",1,1
"327",1.9,1.9
"328",1.5,1.5
"329",1,1
"330",20.9,20.9
"331",3.85,3.85
"332",6.9,6.9
"333",3.15,3.15
"334",13,13
"335",1.35,1.35
"336",9.3,9.3
"337",4.5,4.5
"338",8,8
"339",2.9,2.9
"340",9,9
"341",1.15,1.15
"342",14.2,14.2
"343",1.1,1.1
"344",9.5,9.5
"345",2,2
"346",3.8,3.8
"347",5.25,5.25
"348",10.3,10.3
"349",3.1,3.1
"350",8.2,8.2
"351",0.95,1.45
"352",4.5,4.5
"353",2.25,2.25
"354",12.5,12.5
"355",3.85,3.85
"356",1.5,1.5
"357",4.8,4.8
"358",17,17
"359",45.25,45.25
"360",16.7,16.7
"361",39.75,39.75
"362",16.7,16.7
"363",20.55,20.55
"364",4.5,4.5
"365",6.25,6.25
"366",1.5,1.5
"367",2.8,2.8
"368",2,2
"369",15.95,15.95
"370",7.8,7.8
"371",5.05,5.05
"372",11.6,11.6
"373",6.75,6.75
"374",30.5,30.5
"375",4.2,4.2
"376",15.7,15.7
"377",3.25,3.25
"378",35.6,35.6
"379",3,3
"380",12.3,12.3
"381",3.35,3.35
"382",14.7,14.7
"383",2.8,2.8
"384",22.4,22.4
"385",0,1
"386",17,17
"387",2.7,2.7
"388",7.3,7.3
"389",2.25,2.25
