"station"	"date"	"layer"	"chla..Data.values"	"chla..Data.value2"	"chla.remark.codes"	"chla.value.codes"	"chla.reporting.level"	"chla.reporting.method"	"chla.reporting.units"	"chla.analyte.method"	"chla.analyte.name"	"chla.unique.code"
"CB3.3C"	1985-01-23	"B"	 10.7000000	 10.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	 12.0000000	 12.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	 16.0000000	 16.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	  8.7000000	  8.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	 28.0000000	 28.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	  9.3000000	  9.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	 22.4000000	 22.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	 12.0000000	 12.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	 38.0000000	 38.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	 22.0000000	 22.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	 42.4000000	 42.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	 34.7000000	 34.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	  1.8000000	  1.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	  3.0000000	  3.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	  1.6000000	  1.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	 15.0000000	 15.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	  1.0000000	  1.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	  8.3000000	  8.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	  1.4000000	  1.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	 16.3000000	 16.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	  2.0500000	  2.0500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	 24.3000000	 24.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	  0.5500000	  1.0500000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	  6.7000000	  6.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"B"	  2.6500000	  2.6500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"S"	 14.7000000	 14.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"B"	  1.1000000	  1.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"S"	 26.2000000	 26.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"B"	  0.5500000	  1.0500000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"S"	  5.4000000	  5.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"B"	  3.4500000	  3.4500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"S"	 15.7000000	 15.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"B"	  2.1000000	  2.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"S"	  4.5000000	  4.5000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"B"	  3.9500000	  3.9500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"S"	  4.7000000	  4.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"B"	 18.3000000	 18.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"S"	  8.7000000	  8.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"B"	  8.1000000	  8.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"S"	  7.8000000	  7.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"B"	 22.7000000	 22.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"S"	  2.3000000	  2.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"B"	 25.4000000	 25.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"S"	 12.0000000	 12.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"B"	 12.0000000	 12.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"S"	 22.0000000	 22.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"B"	 38.0500000	 38.0500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"S"	 29.2000000	 29.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"B"	 17.1500000	 17.1500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"S"	 22.2000000	 22.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"B"	  0.0000000	  1.0000000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"S"	 13.6000000	 13.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-24	"B"	  1.8000000	  1.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-24	"S"	 12.7000000	 12.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"B"	  1.0000000	  1.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"S"	 37.4000000	 37.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"B"	  1.3500000	  1.3500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"S"	 32.3000000	 32.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	  0.0000000	  1.0000000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	 17.1000000	 17.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	  1.2500000	  1.2500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	 19.6000000	 19.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	  2.6000000	  2.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	 20.0000000	 20.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	  0.6000000	  1.1000000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	  7.4000000	  7.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	  1.3000000	  1.8000000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	 11.9000000	 11.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	  0.7500000	  1.2500000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	  7.2000000	  7.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	  2.0000000	  2.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	  6.4000000	  6.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	  5.8500000	  5.8500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	  9.2000000	  9.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	 24.9500000	 24.9500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	 14.3000000	 14.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	 21.9000000	 21.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	  6.6000000	  6.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	 27.4000000	 27.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	 15.0000000	 15.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	 20.3000000	 20.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	  9.4000000	  9.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	 24.0000000	 24.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	  4.4000000	  4.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	 37.4500000	 37.4500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	 10.9000000	 10.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	 15.9500000	 15.9500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	 27.9000000	 27.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	  1.7000000	  1.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	  7.2000000	  7.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	  2.1000000	  2.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	 15.0000000	 15.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	  2.3500000	  2.3500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	 24.9000000	 24.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	  1.9000000	  1.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	 16.2000000	 16.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	  3.1000000	  3.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	 33.6000000	 33.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	  2.2000000	  2.2000000	" "	""	NA	""	""	""	""	""
