"station"	"date"	"layer"	"do..Data.values"	"do..Data.value2"	"do.remark.codes"	"do.value.codes"	"do.reporting.level"	"do.reporting.method"	"do.reporting.units"	"do.analyte.method"	"do.analyte.name"	"do.unique.code"
"CB3.3C"	1985-01-23	"B"	 9.000000	 9.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	13.200000	13.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	15.000000	15.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	 9.600000	 9.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	13.600000	13.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	 7.200000	 7.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	11.400000	11.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	 1.100000	 1.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	14.800000	14.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	 2.700000	 2.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	12.300000	12.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	 0.000000	 0.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	 7.600000	 7.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	 6.700000	 6.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	 0.600000	 0.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	 6.900000	 6.900000	" "	""	NA	""	""	""	""	""
