"station"	"date"	"layer"	"nh4f..Data.values"	"nh4f..Data.value2"	"nh4f.remark.codes"	"nh4f.value.codes"	"nh4f.reporting.level"	"nh4f.reporting.method"	"nh4f.reporting.units"	"nh4f.analyte.method"	"nh4f.analyte.name"	"nh4f.unique.code"
"CB3.3C"	1985-01-23	"B"	 0.08300	 0.08300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	 0.07900	 0.07900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	 0.00000	 0.04000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	 0.00000	 0.04000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	 0.06900	 0.06900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	 0.02400	 0.02400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	 0.07500	 0.07500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	 0.02700	 0.02700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	 0.07700	 0.07700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	 0.05000	 0.05000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	 0.17800	 0.17800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	 0.00600	 0.00600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	 0.09700	 0.09700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	 0.01800	 0.01800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	 0.25500	 0.25500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	 0.06650	 0.06650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	 0.28600	 0.28600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	 0.07700	 0.07700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	 0.31700	 0.31700	" "	""	NA	""	""	""	""	""
