"station"	"date"	"layer"	"no23f..Data.values"	"no23f..Data.value2"	"no23f.remark.codes"	"no23f.value.codes"	"no23f.reporting.level"	"no23f.reporting.method"	"no23f.reporting.units"	"no23f.analyte.method"	"no23f.analyte.name"	"no23f.unique.code"
"CB3.3C"	1985-01-23	"B"	 0.41700	 0.41700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	 0.54600	 0.54600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	 0.29300	 0.29300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	 0.41600	 0.41600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	 0.12700	 0.12700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	 0.95000	 0.95000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	 0.23750	 0.23750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	 0.61900	 0.61900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	 0.31600	 0.31600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	 0.75700	 0.75700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	 0.19300	 0.19300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	 0.53200	 0.53200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	 0.16900	 0.16900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	 0.28000	 0.28000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	 0.11700	 0.11700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	 0.19250	 0.19250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	 0.08400	 0.08400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	 0.19400	 0.19400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	 0.04890	 0.04890	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	 0.15400	 0.15400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	 0.00140	 0.00140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	 0.00270	 0.00270	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	 0.00660	 0.00660	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	 0.01390	 0.01390	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	 0.03360	 0.03360	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	 0.03770	 0.03770	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	 0.08300	 0.08300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	 0.00990	 0.00990	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	 0.07900	 0.07900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"B"	 0.08475	 0.08475	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"S"	 0.05370	 0.05370	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"B"	 0.05200	 0.05200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"S"	 0.07300	 0.07300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"B"	 0.06250	 0.06250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"S"	 0.09800	 0.09800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"B"	 0.15700	 0.15700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"S"	 0.27500	 0.27500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"B"	 0.20500	 0.20500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"S"	 0.77000	 0.77000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"B"	 0.37000	 0.37000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"S"	 0.63000	 0.63000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"B"	 0.21000	 0.21000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"S"	 0.87000	 0.87000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"B"	 0.74000	 0.74000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"S"	 0.71000	 0.71000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"B"	 0.46400	 0.46400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"S"	 1.03000	 1.03000	" "	""	NA	""	""	""	""	""
