"station"	"date"	"layer"	"pn..Data.values"	"pn..Data.value2"	"pn.remark.codes"	"pn.value.codes"	"pn.reporting.level"	"pn.reporting.method"	"pn.reporting.units"	"pn.analyte.method"	"pn.analyte.name"	"pn.unique.code"
"CB3.3C"	1985-01-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	 0.08730	 0.08730	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	 0.22800	 0.22800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	 0.11750	 0.11750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	 0.23800	 0.23800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	 0.08510	 0.08510	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	 0.26800	 0.26800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	 0.07720	 0.07720	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	 0.41400	 0.41400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	 0.05500	 0.05500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	 0.20100	 0.20100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	 0.10000	 0.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	 0.37700	 0.37700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	 0.10405	 0.10405	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	 0.39400	 0.39400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	 0.09870	 0.09870	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	 0.26900	 0.26900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"B"	 0.26450	 0.26450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"S"	 0.32300	 0.32300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"B"	 0.12050	 0.12050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"S"	 0.39200	 0.39200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"B"	 0.14750	 0.14750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"S"	 0.13100	 0.13100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"B"	 0.38500	 0.38500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"S"	 0.26800	 0.26800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"B"	 0.28400	 0.28400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"S"	 0.09720	 0.09720	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"B"	 0.29450	 0.29450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"S"	 0.12700	 0.12700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"B"	 0.36600	 0.36600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"S"	 0.11800	 0.11800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"B"	 0.19300	 0.19300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"S"	 0.18700	 0.18700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"B"	 0.68000	 0.68000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"S"	 0.15100	 0.15100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"B"	 0.66400	 0.66400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"S"	 0.19600	 0.19600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"B"	 0.24150	 0.24150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"S"	 0.27500	 0.27500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"B"	 0.43250	 0.43250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"S"	 0.33300	 0.33300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"B"	 0.25100	 0.25100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"S"	 0.26100	 0.26100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"B"	 0.05535	 0.05535	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"S"	 0.27900	 0.27900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-24	"B"	 0.12950	 0.12950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-24	"S"	 0.30600	 0.30600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"B"	 0.06515	 0.06515	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"S"	 0.60100	 0.60100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"B"	 0.05850	 0.05850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"S"	 0.54500	 0.54500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	 0.07445	 0.07445	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	 0.33600	 0.33600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	 0.08845	 0.08845	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	 0.46100	 0.46100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	 0.14650	 0.14650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	 0.34500	 0.34500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	NA	NA	" "	""	NA	""	""	""	""	""
