"station"	"date"	"layer"	"po4f..Data.values"	"po4f..Data.value2"	"po4f.remark.codes"	"po4f.value.codes"	"po4f.reporting.level"	"po4f.reporting.method"	"po4f.reporting.units"	"po4f.analyte.method"	"po4f.analyte.name"	"po4f.unique.code"
"CB3.3C"	1985-01-23	"B"	 0.000000	 0.007000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	 0.000000	 0.007000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	 0.000000	 0.007000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	 0.000000	 0.007000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	 0.010800	 0.010800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	 0.004000	 0.004000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	 0.003800	 0.003800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	 0.003200	 0.003200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	 0.002300	 0.002300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	 0.001900	 0.001900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	 0.003600	 0.003600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	 0.003300	 0.003300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	 0.002400	 0.002400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	 0.002400	 0.002400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	 0.006300	 0.006300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	 0.005750	 0.005750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	 0.008950	 0.008950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	 0.004800	 0.004800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	 0.014000	 0.014000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	 0.005700	 0.005700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	 0.037900	 0.037900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	 0.006500	 0.006500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	 0.047200	 0.047200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	 0.011400	 0.011400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	 0.044600	 0.044600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	 0.003100	 0.003100	" "	""	NA	""	""	""	""	""
