"station"	"date"	"layer"	"pp..Data.values"	"pp..Data.value2"	"pp.remark.codes"	"pp.value.codes"	"pp.reporting.level"	"pp.reporting.method"	"pp.reporting.units"	"pp.analyte.method"	"pp.analyte.name"	"pp.unique.code"
"CB3.3C"	1985-01-23	"B"	 0.01600	 0.02800	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	 0.01800	 0.03000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	 0.03300	 0.04300	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	 0.01100	 0.02100	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	 0.04650	 0.04650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	 0.03400	 0.03400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	 0.06000	 0.06000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	 0.02900	 0.02900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	 0.03000	 0.03000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	 0.02000	 0.02000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	 0.03200	 0.03200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	 0.01400	 0.01400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	 0.02210	 0.02210	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	 0.01975	 0.01975	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	 0.02010	 0.02010	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	 0.01370	 0.01370	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	 0.02260	 0.02260	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	 0.01390	 0.01390	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	 0.03720	 0.03720	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	 0.00900	 0.00900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	 0.03450	 0.03450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	 0.01760	 0.01760	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	 0.03850	 0.03850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	 0.01820	 0.01820	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	 0.04300	 0.04300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	 0.01510	 0.01510	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	 0.03600	 0.03600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"B"	 0.04860	 0.04860	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"S"	 0.03310	 0.03310	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"B"	 0.01880	 0.01880	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"S"	 0.02590	 0.02590	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"B"	 0.02245	 0.02245	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"S"	 0.01420	 0.01420	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"B"	 0.08200	 0.08200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"S"	 0.02440	 0.02440	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"B"	 0.06670	 0.06670	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"S"	 0.01560	 0.01560	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"B"	 0.05240	 0.05240	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"S"	 0.01860	 0.01860	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"B"	 0.03565	 0.03565	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"S"	 0.02050	 0.02050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"B"	 0.02235	 0.02235	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"S"	 0.02140	 0.02140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"B"	 0.13300	 0.13300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"S"	 0.04280	 0.04280	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"B"	 0.11160	 0.11160	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"S"	 0.02270	 0.02270	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"B"	 0.03030	 0.03030	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"S"	 0.02560	 0.02560	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"B"	 0.02730	 0.02730	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"S"	 0.02060	 0.02060	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"B"	 0.02595	 0.02595	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"S"	 0.02700	 0.02700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"B"	 0.00795	 0.00795	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"S"	 0.02800	 0.02800	" "	""	NA	""	""	""	""	""
