"station"	"date"	"layer"	"secchi..Data.values"	"secchi..Data.value2"	"secchi.remark.codes"	"secchi.value.codes"	"secchi.reporting.level"	"secchi.reporting.method"	"secchi.reporting.units"	"secchi.analyte.method"	"secchi.analyte.name"	"secchi.unique.code"
"CB3.3C"	1985-01-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	1.30	1.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"S"	0.30	0.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-24	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
