"station"	"date"	"layer"	"tdn..Data.values"	"tdn..Data.value2"	"tdn.remark.codes"	"tdn.value.codes"	"tdn.reporting.level"	"tdn.reporting.method"	"tdn.reporting.units"	"tdn.analyte.method"	"tdn.analyte.name"	"tdn.unique.code"
"CB3.3C"	1985-01-23	"B"	0.98400	0.98400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	1.50900	1.50900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	0.29300	0.66800	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	0.41600	0.79100	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	0.52000	0.52000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	1.47900	1.47900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	0.44850	0.63600	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	0.61900	0.99400	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	0.93100	0.93100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	1.19600	1.19600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	0.79100	0.79100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	0.53200	0.90700	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	0.56300	0.56300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	0.28000	0.65500	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	0.63500	0.63500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	0.54000	0.54000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	0.60750	0.60750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	0.50000	0.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	0.64600	0.64600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	0.48100	0.48100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	0.58500	0.58500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	0.29900	0.29900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	0.71000	0.71000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	0.40900	0.40900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	0.72000	0.72000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	0.34100	0.34100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	0.62900	0.62900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	0.49700	0.49700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	0.61100	0.61100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	0.38700	0.38700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"B"	0.61750	0.61750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"S"	0.45900	0.45900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"B"	0.60400	0.60400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"S"	0.42700	0.42700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"B"	0.54300	0.54300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"S"	0.47400	0.47400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"B"	0.56700	0.56700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"S"	0.70100	0.70100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"B"	0.65000	0.65000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"S"	1.15000	1.15000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"B"	0.74000	0.74000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"S"	1.05000	1.05000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"B"	0.77500	0.77500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"S"	1.27000	1.27000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"B"	1.06500	1.06500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"S"	1.14000	1.14000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"B"	0.86000	0.86000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-25	"S"	1.35000	1.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"B"	0.81000	0.81000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-08	"S"	1.23000	1.23000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"B"	0.69000	0.69000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-04-22	"S"	1.17000	1.17000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"B"	0.83500	0.83500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-13	"S"	0.84000	0.84000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"B"	0.45500	0.45500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-05-27	"S"	0.51000	0.51000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"B"	0.69500	0.69500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-10	"S"	0.63000	0.63000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-24	"B"	0.63500	0.63500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-06-24	"S"	0.42000	0.42000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"B"	0.68500	0.68500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"S"	0.49000	0.49000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"B"	0.72000	0.72000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"S"	0.39000	0.39000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	0.68000	0.68000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	0.35000	0.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	0.67500	0.67500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	0.42000	0.42000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	0.59500	0.59500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	0.42000	0.42000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	0.39020	0.39020	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	0.35320	0.35320	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	0.45140	0.45140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	0.44000	0.44000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	0.63700	0.63700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	0.72900	0.72900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	0.69600	0.69600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	1.05000	1.05000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	0.49400	0.49400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	1.00000	1.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	0.52650	0.52650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	0.87400	0.87400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	0.53650	0.53650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	1.27000	1.27000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	0.59950	0.59950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	1.15000	1.15000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	0.70000	0.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	1.29100	1.29100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	0.66800	0.66800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	1.38000	1.38000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	0.59800	0.59800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	0.99000	0.99000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	0.43285	0.43285	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	0.63000	0.63000	" "	""	NA	""	""	""	""	""
