"station"	"date"	"layer"	"tdp..Data.values"	"tdp..Data.value2"	"tdp.remark.codes"	"tdp.value.codes"	"tdp.reporting.level"	"tdp.reporting.method"	"tdp.reporting.units"	"tdp.analyte.method"	"tdp.analyte.name"	"tdp.unique.code"
"CB3.3C"	1985-01-23	"B"	 0.00000	 0.01200	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	 0.00000	 0.01200	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	 0.00000	 0.01000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	 0.00000	 0.01000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	 0.01650	 0.01650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	 0.02000	 0.02000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	 0.00800	 0.00800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	 0.01900	 0.01900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	 0.00800	 0.00800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	 0.02800	 0.02800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	 0.01300	 0.01300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	 0.01700	 0.01700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	 0.02550	 0.02550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	 0.00400	 0.00650	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	 0.06400	 0.06400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	 0.01400	 0.01400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	 0.02600	 0.02600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	 0.04000	 0.04000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	 0.01900	 0.01900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	 0.04700	 0.04700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	 0.01450	 0.01450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	 0.05600	 0.05600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	 0.04200	 0.04200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	 0.03950	 0.03950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	 0.03400	 0.03400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	 0.11100	 0.11100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	 0.01300	 0.01300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"B"	 0.02300	 0.02300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"S"	 0.05400	 0.05400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"B"	 0.02500	 0.02500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"S"	 0.01100	 0.01100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"B"	 0.01150	 0.01150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"S"	 0.00600	 0.00600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"B"	 0.01500	 0.01500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"S"	 0.02400	 0.02400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"B"	 0.03650	 0.03650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"S"	 0.02100	 0.02100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"B"	 0.00850	 0.00850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"S"	 0.01100	 0.01100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"B"	 0.01500	 0.01500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"S"	 0.01000	 0.01000	" "	""	NA	""	""	""	""	""
