"station"	"date"	"layer"	"tn..Data.values"	"tn..Data.value2"	"tn.remark.codes"	"tn.value.codes"	"tn.reporting.level"	"tn.reporting.method"	"tn.reporting.units"	"tn.analyte.method"	"tn.analyte.name"	"tn.unique.code"
"CB3.3C"	1985-01-23	"B"	1.067000	1.067000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	1.259000	1.259000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	0.779000	0.779000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	0.416000	0.807000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	0.978000	0.978000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	1.415000	1.415000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	0.879000	0.879000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	1.092000	1.092000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	1.205000	1.205000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	1.419000	1.419000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	1.104500	1.104500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	0.532000	0.998000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	0.722000	0.722000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	0.280000	0.769000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	0.722300	0.722300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	0.768000	0.768000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	0.725000	0.725000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	0.738000	0.738000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	0.731100	0.731100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	0.749000	0.749000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	0.662200	0.662200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	0.713000	0.713000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	0.765000	0.765000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	0.610000	0.610000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	0.820000	0.820000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	0.718000	0.718000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	0.733050	0.733050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	0.891000	0.891000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	0.709700	0.709700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	0.656000	0.656000	" "	""	NA	""	""	""	""	""
