"station"	"date"	"layer"	"tp..Data.values"	"tp..Data.value2"	"tp.remark.codes"	"tp.value.codes"	"tp.reporting.level"	"tp.reporting.method"	"tp.reporting.units"	"tp.analyte.method"	"tp.analyte.name"	"tp.unique.code"
"CB3.3C"	1985-01-23	"B"	0.02800	0.02800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	0.03000	0.03000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	0.04300	0.04300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	0.02100	0.02100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	0.06300	0.06300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	0.05400	0.05400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	0.06800	0.06800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	0.04400	0.04400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	0.04800	0.04800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	0.03800	0.03800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	0.04800	0.04800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	0.04500	0.04500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	0.03100	0.03100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	0.04760	0.04760	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	0.02375	0.02625	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	0.08410	0.08410	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	0.02770	0.02770	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	0.04860	0.04860	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	0.05390	0.05390	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	0.05620	0.05620	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	0.05600	0.05600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	0.04900	0.04900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	0.07360	0.07360	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	0.08050	0.08050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	0.05770	0.05770	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	0.07700	0.07700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	0.12610	0.12610	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	0.04900	0.04900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"B"	0.07160	0.07160	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"S"	0.08710	0.08710	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"B"	0.04380	0.04380	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-08	"S"	0.03690	0.03690	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"B"	0.03395	0.03395	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-10-22	"S"	0.02020	0.02020	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"B"	0.10300	0.10300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-11-13	"S"	0.04840	0.04840	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"B"	0.10320	0.10320	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-12-10	"S"	0.03660	0.03660	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"B"	0.06090	0.06090	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-01-07	"S"	0.02960	0.02960	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"B"	0.05065	0.05065	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-02-13	"S"	0.03050	0.03050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-03-11	"B"	0.03285	0.03285	" "	""	NA	""	""	""	""	""
