"station"	"date"	"layer"	"tss..Data.values"	"tss..Data.value2"	"tss.remark.codes"	"tss.value.codes"	"tss.reporting.level"	"tss.reporting.method"	"tss.reporting.units"	"tss.analyte.method"	"tss.analyte.name"	"tss.unique.code"
"CB3.3C"	1985-01-23	"B"	   0.00000	   4.00000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-01-23	"S"	   0.00000	   4.00000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"B"	  22.00000	  22.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-02-13	"S"	   4.00000	   4.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"B"	 108.00000	 108.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-05	"S"	   0.00000	   4.00000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"B"	  26.50000	  26.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-03-20	"S"	   4.00000	   4.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"B"	  12.00000	  12.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-09	"S"	   0.00000	   4.00000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"B"	  11.00000	  11.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-04-23	"S"	   0.00000	   4.00000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"B"	   8.00000	   8.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-07	"S"	   4.00000	   4.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"B"	   7.60000	   7.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-05-21	"S"	   7.00000	   7.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"B"	  10.40000	  10.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-04	"S"	   5.80000	   5.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"B"	  31.20000	  31.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-06-18	"S"	  29.10000	  29.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"B"	  20.80000	  20.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-09	"S"	  12.20000	  12.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"B"	  17.00000	  17.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-07-24	"S"	  16.60000	  16.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"B"	   5.40000	   5.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-07	"S"	   6.60000	   6.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"B"	   8.10000	   8.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-08-20	"S"	   5.80000	   5.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"B"	  23.35000	  23.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-10	"S"	  16.20000	  16.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"B"	  27.30000	  27.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1985-09-24	"S"	   4.80000	   4.80000	" "	""	NA	""	""	""	""	""
